year,2-grams,3-grams,4-grams,5-grams
1866,3137946193,2992532134,2847118509,2703012435
1867,3182109388,3033374577,2884639340,2737406460
1868,3388513769,3230121657,3071729561,2914709248
1869,3388338863,3229167602,3069995850,2912323922
1870,3468420370,3305924985,3143430147,2982359777
1871,3345176923,3187942998,3030709951,2874924595
1872,3790566944,3608789895,3427012310,3246805710
1873,3550015785,3382317982,3214620452,3048529028
1874,3696608215,3520724527,3344841146,3170633812
1875,3660956883,3488429268,3315901072,3144992520
1876,3844621409,3662181744,3479741725,3299032665
1877,3774258720,3594730230,3415202011,3237319103
1878,3740518881,3561187606,3381856393,3204210508
1879,3914158655,3726839155,3539519472,3353960136
1880,4294661614,4087276267,3879891122,3674500427
1881,4136037210,3937046249,3738055648,3541125908
1882,4300415067,4091708327,3883001833,3676315581
1883,4565047095,4343920708,4122793633,3903774452
1884,4756636617,4525723203,4294809021,4066136447
1885,4631713642,4407867837,4184022027,3962473637
1886,4674526466,4447243294,4219960331,3994713283
1887,4922806740,4682166209,4441526131,4203141768
1888,5175417461,4922157607,4668897917,4417934435
1889,5445827384,5178119137,4910411197,4645347952
1890,5432421536,5169620882,4906820738,4646466003
1891,5564295881,5290448411,5016601215,4745395519
1892,5740455217,5458626428,5176796963,4897766415
1893,5937684448,5647489257,5357294501,5069838883
1894,5867512020,5579256250,5291001342,5005399701
1895,6688098525,6357235906,6026371911,5698661279
1896,6517009834,6194569419,5872129989,5552817862
1897,6805592530,6466531344,6127470597,5791687146
1898,7099819285,6747708577,6395597625,6046823757
1899,7752906734,7371207378,6989507692,6611475530
1900,8094974144,7690102008,7285229283,6884392936
1901,8339492642,7919714283,7499935362,7084491865
1902,8259918918,7843300275,7426683038,7014306270
1903,8323470263,7905498625,7487527615,7073766548
1904,8776146778,8336334162,7896521153,7461185872
1905,8737184360,8296824677,7856465041,7420485800
1906,9442637273,8962660771,8482682378,8007480635
1907,9490705856,9010942875,8531179776,8056283140
1908,9871641795,9369609278,8867577254,8370700363
1909,9696860268,9207687244,8718515274,8234222227
1910,10268244566,9751225205,9234206314,8722304027
1911,10962074940,10408949161,9855822160,9308198026
1912,10920609057,10366232646,9811857568,9262881159
1913,10923983337,10371589965,9819196379,9272409534
1914,10766605170,10220191065,9673776945,9132961838
1915,10436386743,9910924879,9385464391,8865515509
1916,10522414396,9991463618,9460514333,8935085312
1917,10287191426,9773697086,9260203375,8752171609
1918,9432756558,8962898057,8493038891,8028131431
1919,9986605370,9490994484,8995383407,8504757185
1920,10763673745,10229118119,9694562074,9165695719
1921,10457276828,9934267098,9411257276,8893541625
1922,10583266367,10056292444,9529318136,9007906242
1923,6486289691,6157196016,5828102644,5503077419
1924,5353798731,5081784828,4809770370,4540912533
1925,6231522829,5915092370,5598662268,5286300500
1926,6125199296,5818211922,5511224415,5207955150
1927,6159848357,5849639315,5539431191,5233292884
1928,6540057063,6209782857,5879508573,5553156745
1929,6564677426,6232053889,5899429917,5570850463
1930,6616728128,6282644234,5948560093,5618655562
1931,6599892456,6263058006,5926224936,5593706173
1932,5948808135,5649698767,5350589738,5055190118
1933,5523980338,5246816733,4969652666,4695879645
1934,5732293361,5445701325,5159109158,4876034409
1935,6359056172,6042196945,5725336550,5412197992
1936,6491243958,6166364509,5841484731,5520454719
1937,6694088627,6358284853,6022481037,5690604002
1938,6765852742,6428539486,6091225908,5757965599
1939,7180930025,6823050121,6465169457,6111595537
1940,6702287396,6365497374,6028707048,5695856029
1941,6913949166,6567465091,6220981397,5878549348
1942,6037582613,5738611601,5439641394,5144083864
1943,5826166463,5538544779,5250923870,4966551055
1944,5447861830,5180005502,4912149123,4647401152
1945,6028341575,5735381174,5442421349,5152785395
1946,7002017506,6658974316,6315931491,5976558683
1947,7914124761,7530162889,7146199494,6766379382
1948,8006796093,7611164522,7215532646,6824304898
1949,9079544031,8632840169,8186138176,7744465334
1950,9074740292,8628214842,8181689483,7740125743
1951,8790042399,8354218856,7918394949,7487470757
1952,8835260581,8400316177,7965371521,7535297843
1953,8882467770,8443105679,8003744588,7569391293
1954,9078244406,8632322088,8186399413,7745491364
1955,9580574371,9108492801,8636412904,8169640620
1956,9577730542,9105423242,8633116515,8166084741
1957,10349814738,9841387014,9332961340,8830043635
1958,10364156028,9856123974,9348092967,8845582109
1959,11147744319,10607149254,10066553308,9531839212
1960,11784368314,11209997842,10635630070,10067687081
1961,12617415518,12002978793,11388542414,10780768469
1962,13291480662,12649009681,12006538310,11370933428
1963,14183515918,13492539933,12801564695,12118154492
1964,13343269715,12692130021,12040989649,11397133518
1965,14718550121,14003190844,13287833758,12580748809
1966,15156394370,14424395113,13692398387,12968699735
1967,16686424339,15884823171,15083222355,14290799397
1968,17030045430,16205992347,15381938943,14567732480
1969,17065522859,16246558085,15427592099,14618555680
1970,16970682590,16151760865,15332840218,14524578665
1971,16943202437,16130127583,15317053686,14515317236
1972,16715496993,15913887417,15112275403,14320653961
1973,17117078311,16290209858,15463341621,14647184940
1974,16764386536,15960085897,15155787892,14361420220
1975,17255547864,16428962312,15602377843,14786059800
1976,18181157848,17307423535,16433687354,15570872623
1977,18423761967,17533855502,16643945885,15765179828
1978,18526282652,17616023297,16705765248,15806912165
1979,18688350443,17776192463,16864033332,15963356087
1980,18708168252,17798383746,16888599123,15990735120
1981,18405231996,17507155478,16609079385,15722512287
1982,18479822749,17576575640,16673329049,15781854558
1983,19163619258,18228950883,17294284081,16372432060
1984,19683938999,18723579220,17763220844,16815450306
1985,20267143092,19275076984,18283012644,17303801768
1986,20293333593,19298484107,18303633990,17321836730
1987,20431902930,19434776792,18437649990,17453920622
1988,20756516663,19747810745,18739104953,17743944067
1989,21742889103,20678294638,19613702997,18562991206
1990,22453565286,21361918602,20270271390,19192982939
1991,21663852927,20610112959,19556375294,18516510289
1992,22568942490,21475779570,20382621755,19304372313
1993,22549310829,21458197610,20367088094,19291058658
1994,22844159197,21746278017,20648397774,19566209082
1995,23588452576,22453532037,21318611979,20198755944
1996,23299885692,22178105057,21056327492,19950325914
1997,23070930260,21967444573,20863957778,19776788995
1998,23480460561,22366401802,21252341328,20153921260
1999,23800591901,22668399575,21536203515,20419713254
2000,26084014857,24833817412,23583618539,22350498744
2001,25971227876,24725234174,23479238602,22249985523
2002,27671164651,26341639467,25012115822,23700992594
2003,28890693743,27512582920,26134477300,24774658194
2004,29575141956,28172895624,26770644109,25386832195
2005,27930375272,26609985254,25289598973,23986579682
2006,29065601763,27695490121,26325382325,24972459729
2007,29710487113,28307905859,26905323310,25520082823
2008,30180778768,28752028110,27323281157,25910195015
2009,29151197853,27757725517,26364254488,24984152671
2010,27962098075,26616892066,25271688827,23936936245
2011,28392592369,26999620478,25606651620,24221073108
2012,36194737386,34434368295,32673994077,30922117223
2013,36653730676,34895155990,33136578092,31388222001
2014,32397793553,30772279231,29146771634,27532121014
2015,28148829913,26752987193,25357145286,23968535559
2016,28062297109,26697167237,25332038318,23973293768
2017,28921917569,27494998106,26068080108,24648001846
2018,27653886394,26305614433,24957345445,23615968798
2019,24012975773,22826151516,21639328850,20458634511
