year,2-grams,3-grams,4-grams,5-grams
1800,264170180,251986554,239802964,227757890
1801,258668234,246877197,235086211,223460423
1802,248996026,237790222,226584416,215531516
1803,363023032,347023706,331024397,315201899
1804,322813530,307656019,292498526,277497342
1805,344790811,329067780,313344759,297811810
1806,426474085,407000462,387526814,368269128
1807,491086931,468265004,445443106,422862087
1808,576664012,550132912,523601806,497342695
1809,578398199,552531763,526665253,501057622
1810,714847965,682804213,650760513,619006071
1811,635824573,606964652,578104708,549503659
1812,826454142,789593980,752733684,716189751
1813,687230235,655495494,623760698,592323124
1814,637571865,609500543,581429097,553626648
1815,625811893,598459162,571106412,544044609
1816,770720085,736455226,702190290,668252537
1817,715234082,683663951,652093782,620806150
1818,775748181,739653175,703558185,667804313
1819,786877282,751196819,715516302,680180407
1820,873191852,833727274,794262853,755182355
1821,836142966,797929196,759715352,721865390
1822,995360047,950496204,905632181,861190744
1823,1014722001,969200220,923678431,878603699
1824,1164840940,1111259537,1057677968,1004588071
1825,1199845478,1144973954,1090102347,1035722044
1826,1064478309,1017046351,969614315,922631312
1827,1115515130,1065144051,1014772982,964883401
1828,1181160582,1128263722,1075366812,1022941500
1829,1261289181,1205563374,1149837782,1094632186
1830,1429080702,1366130927,1303181262,1240786466
1831,1353814424,1294824969,1235835532,1177375713
1832,2124294381,2032850967,1941408032,1850906068
1833,1567675283,1498954201,1430233306,1362129516
1834,1607768865,1537840250,1467911507,1398617321
1835,1754835248,1677722230,1600609134,1524228418
1836,1810585531,1732058037,1653530812,1575676779
1837,1800206360,1719923123,1639639661,1560119618
1838,1783182351,1705076908,1626971309,1549556755
1839,1990295299,1903209370,1816123431,1729806066
1840,1930441782,1844712513,1758983316,1674032684
1841,1957295695,1871677026,1786058471,1701174376
1842,1971769866,1885120518,1798471306,1712576854
1843,1976772224,1889995653,1803219218,1717155098
1844,2135298298,2041469296,1947640090,1854609566
1845,2459342684,2349027578,2238712638,2129319766
1846,2279133115,2178546179,2077959246,1978247142
1847,2237507898,2139128937,2040749757,1943167527
1848,2238978010,2140542172,2042106076,1944460515
1849,2290949366,2190371857,2089794268,1990015992
1850,2468241015,2357165989,2246091296,2136132278
1851,2735084247,2612236485,2489388845,2367781879
1852,2782555319,2658324781,2534093736,2411046388
1853,3151170009,3009425338,2867680546,2727289937
1854,3223146409,3076921495,2930696672,2785879611
1855,2957659826,2825409497,2693159472,2562215960
1856,3101795715,2960196785,2818597452,2678319031
1857,2965198729,2828750023,2692301594,2557205103
1858,2852187783,2720997853,2589807994,2459936355
1859,3015150393,2874458330,2733766648,2594464437
1860,3114053248,2967891066,2821729285,2677027714
1861,2599826060,2480007456,2360188712,2241500077
1862,2459796087,2344634400,2229472715,2115351362
1863,2454727842,2342104295,2229480394,2117833314
1864,2652287991,2529041207,2405794003,2283626759
1865,2688234789,2563919151,2439603654,2316379969
