year,2-grams,3-grams,4-grams,5-grams
1800,57088415,54590064,52091719,49624466
1801,43898272,41999541,40100808,38223831
1802,96110633,91778043,87445457,83155259
1803,118599378,113523589,108447800,103417157
1804,167053960,159904257,152754605,145660602
1805,116499912,111092219,105684534,100318193
1806,119847076,114507204,109167328,103869648
1807,123245547,117926074,112606638,107328461
1808,110567905,105675636,100783357,95934756
1809,136796384,129999420,123202462,116459514
1810,101428221,96435219,91442226,86500797
1811,123547613,117869742,112191856,106561642
1812,91687619,87507515,83327405,79181350
1813,118438799,112495785,106552783,100659610
1814,89365871,84676268,79986651,75340400
1815,140475227,134160935,127846666,121600640
1816,169530256,161757887,153985513,146292807
1817,184999597,176207270,167414961,158688770
1818,197056933,188290425,179523917,170826196
1819,255974313,243897063,231819817,219830801
1820,340770487,324025165,307279892,290648986
1821,323782114,307991520,292200901,276551997
1822,364170148,347748508,331326909,315034052
1823,350662459,335042676,319422875,303955264
1824,378211448,360891857,343572230,326397718
1825,358531943,341520138,324508319,307636376
1826,326902623,310415312,293928005,277589728
1827,389208304,370053098,350897914,331893503
1828,355958679,337745672,319532624,301463177
1829,421389205,400091042,378792871,357641466
1830,417262961,397586494,377909960,358378200
1831,360189444,343278145,326366845,309600714
1832,423273422,404394872,385516289,366804064
1833,429938412,410446358,390954282,371610284
1834,427715426,408811148,389906888,371130793
1835,359472345,342641973,325811498,309088346
1836,364403184,347634787,330866388,314203580
1837,385020900,367783061,350545189,333417347
1838,462453304,441459471,420465681,399609775
1839,421151045,402656851,384162642,365792051
1840,532713051,508279871,483846703,459563236
1841,544960144,520437433,495914756,471527391
1842,543760312,518930072,494099788,469429667
1843,528188177,504353336,480518512,456833261
1844,573260615,547265192,521269759,495462979
1845,558923830,533782653,508641485,483666697
1846,560752023,536046749,511341576,486773195
1847,500554241,477864286,455174349,432608005
1848,366418521,350285645,334152801,318114484
1849,288402280,275953927,263505540,251140415
1850,414166038,395875637,377585265,359421355
1851,447314078,427565863,407817633,388216252
1852,486033980,463271471,440508941,417932535
1853,527963104,503700312,479437503,455352429
1854,530067989,505824766,481581502,457512679
1855,562325253,536799240,511273278,485912412
1856,568804971,542757402,516709799,490829155
1857,627324401,598304684,569284974,540489226
1858,597123722,570415702,543707617,517172987
1859,550376326,525309491,500242619,475349832
1860,491317690,469078822,446840041,424771305
1861,490951876,468274886,445598005,423075961
1862,459924085,439725682,419527254,399486850
1863,540841218,516063403,491285672,466677952
1864,508917335,486708059,464498745,442444580
1865,523278033,498478164,473678234,449048891
1866,415430386,397143759,378857193,360707570
1867,428396428,410002581,391608780,373351556
1868,450675860,430895788,411115767,391463619
1869,494447686,470478669,446509616,422701949
1870,512788776,489671154,466553571,443601164
1871,426493959,407136340,387778649,368557433
1872,524236724,499346553,474456428,449730367
1873,525082624,501019657,476956677,453075895
1874,495698520,472937687,450176735,427578738
1875,494064412,470728723,447393091,424305963
1876,461067513,438995725,416923904,395023396
1877,436536266,416699522,396862794,377188991
1878,461559710,439504339,417448956,395592906
1879,438390008,418135938,397881892,377809982
1880,408755606,389281902,369808246,350521369
1881,413966140,394184218,374402311,354821125
1882,395800246,376817349,357834443,339044541
1883,399455846,379835590,360215266,340797609
1884,450104837,427924604,405744329,383777014
1885,397971101,378564171,359157238,339967601
1886,402835494,383203506,363571581,344153495
1887,435952263,414240673,392529060,371014069
1888,455420000,432512101,409604222,386908067
1889,417483443,396625398,375767386,355085561
1890,414759695,393660607,372561592,351657260
1891,428018711,406432062,384845463,363479614
1892,435071206,413426705,391782192,370347275
1893,439306192,417031291,394756468,372698745
1894,448584545,425751560,402918637,380309592
1895,485402206,461205027,437007775,413042683
1896,461641699,437868015,414094399,390538768
1897,466667846,443280653,419893431,396742483
1898,487190647,462833136,438475559,414347953
1899,469561176,446106707,422652148,399431352
1900,501999887,476640457,451280945,426193709
1901,492745997,468190568,443635219,419330539
1902,516558005,490886117,465214146,439815764
1903,521720144,495323896,468927578,442818262
1904,543150596,516035184,488919778,462095429
1905,571156220,542011161,512865966,484026079
1906,573263784,545333216,517402682,489765629
1907,592214820,562841268,533467772,504404602
1908,587399605,558223101,529046533,500165987
1909,540500735,514371609,488242520,462346773
1910,539097171,512317208,485537217,458997569
1911,561969054,534668130,507367241,480302604
1912,569097914,540844155,512590376,484596151
1913,590015102,561670947,533326716,505236633
1914,568051183,539835174,511619257,483685934
1915,533398146,506711455,480024679,453576200
1916,429697476,408630451,387563471,366677177
1917,369299774,351078817,332857837,314809855
1918,342165509,325311447,308457400,291778916
1919,394430233,375296666,356163112,337241826
1920,415856402,395661102,375465896,355475637
1921,448758712,427736770,406714738,385907007
1922,435847631,414135779,392423903,370935839
1923,363590204,346168627,328747077,311512384
1924,324456635,308472763,292488875,276666094
1925,363374162,345563436,327752694,310132087
1926,366992959,349238060,331483253,313921025
1927,384313171,365950732,347588299,329425550
1928,417120039,396548016,375975966,355620684
1929,423030239,402488814,381947418,361631383
1930,433733570,412646978,391560328,370690212
1931,451363022,429411795,407460570,385717496
1932,486161725,462280357,438398999,414729046
1933,508930590,483519977,458109294,432929514
1934,523756676,497780154,471803660,446100993
1935,495623427,470886779,446150074,421641275
1936,455900638,432935188,409969657,387240453
1937,510193286,484506468,458819678,433402183
1938,539426788,512458437,485490166,458799457
1939,512935614,487675788,462415943,437415060
1940,486782711,462556791,438330884,414351681
1941,395830184,376669756,357509357,338549156
1942,349403154,333053901,316704719,300530084
1943,264072685,251076217,238079730,225232502
1944,129217341,123265529,117313707,111427005
1945,196449140,187523382,178597605,169783231
1946,270379682,257743512,245107285,232611988
1947,212450955,202358048,192265113,182317344
1948,250638619,238658875,226679167,214856529
1949,247251693,235612557,223973373,212497259
1950,318106546,302734810,287363071,272201068
1951,351047933,333769402,316490880,299431590
1952,322527639,306583444,290639197,274930462
1953,418051356,397899950,377748542,357868070
1954,394861624,375400006,355938387,336786075
1955,382372286,363459463,344546589,325917467
1956,431478005,408794570,386111110,363844954
1957,451577505,429262033,406946561,384980372
1958,586560914,558461609,530362311,502770326
1959,510264612,486460603,462656479,439227438
1960,639385534,609398865,579412189,549920078
1961,624273538,594238165,564202815,534721799
1962,654048443,622209184,590369883,559122087
1963,671016581,639896200,608775824,578187570
1964,623588621,594419736,565250786,536610165
1965,691751462,659761322,627771355,596352970
1966,735050301,700537202,666024189,632129539
1967,763871405,728734053,693596577,659070362
1968,871663730,829880703,788097705,747043521
1969,695208360,662680873,630153337,598262925
1970,645185753,615136422,585087063,555614142
1971,642871238,610205206,577539145,545453777
1972,694949303,662840882,630732609,599243413
1973,667679558,637109960,606540412,576570031
1974,668705851,638198034,607690212,577793186
1975,684025428,652631688,621237954,590462697
1976,713121788,680887013,648652149,617063375
1977,653634580,623585435,593536198,564102711
1978,706632080,674594723,642557437,611216076
1979,695800622,663776803,631753082,600398782
1980,675816993,643879047,611941085,580677917
1981,643371038,613191628,583012088,553505607
1982,689064716,657140825,625216912,593943573
1983,718375871,685663444,652951062,620927794
1984,763019517,727521659,692023746,657279750
1985,735749666,701335842,666921915,633242737
1986,805167246,767702030,730236757,693582673
1987,789513948,752442673,715371393,679068375
1988,903914565,861685909,819457388,778136114
1989,847842511,808982178,770121833,732112404
1990,897376232,856516719,815657303,775715308
1991,920778871,873015412,825251854,778551370
1992,857939269,817644311,777349534,738006886
1993,878320253,837971043,797621787,758213941
1994,917796800,874935128,832073557,790226545
1995,946450200,902425938,858401722,815408067
1996,952291152,908246594,864201962,821203029
1997,1054055099,1005169759,956284373,908550488
1998,1086325722,1036236062,986146565,937281498
1999,1183549996,1128827390,1074104945,1020725820
2000,1227084717,1171126644,1115168635,1060601664
2001,1220141382,1165074427,1110007485,1056275254
2002,1219714540,1165996596,1112278515,1059946692
2003,1217060356,1163820537,1110580854,1058678600
2004,1272293000,1216976799,1161660657,1107794153
2005,1219697844,1167287678,1114877640,1063836258
2006,1300151138,1244397976,1188644745,1134280307
2007,1297342698,1240782787,1184222939,1129149914
2008,1209871248,1156461764,1103052327,1050961098
2009,958770222,916459125,874147913,832828588
2010,1197210373,1138848897,1080487658,1022836126
2011,1315390171,1251296147,1187202090,1123503588
2012,1680329759,1598086348,1515843293,1433995155
2013,1900428204,1805529712,1710631399,1616294484
2014,1898252919,1802087992,1705923646,1610334601
2015,1876266188,1781360084,1686454312,1591958753
2016,1667381884,1581941147,1496500329,1411474706
2017,1773150691,1681810362,1590470322,1499647684
2018,1526523573,1445938124,1365352798,1285179458
2019,1464038033,1386164437,1308291056,1230729573
