year,2-grams,3-grams,4-grams,5-grams
1800,76284607,72711920,69139235,65620910
1801,77136640,73637685,70138737,66686798
1802,73631188,70324879,67018580,63766049
1803,78569261,74977222,71385187,67846211
1804,86156740,82305128,78453513,74658609
1805,86983441,83109241,79235043,75414880
1806,89666517,85622388,81578269,77584847
1807,71291577,68092430,64893292,61739664
1808,80551099,77014844,73478581,69991706
1809,80277488,76622884,72968278,69361435
1810,93251667,89079877,84908107,80786792
1811,89407842,85438575,81469319,77550752
1812,88601083,84600286,80599508,76649788
1813,81490446,77826656,74162855,70544658
1814,76623705,73305374,69987046,66708641
1815,93134808,88981287,84827773,80723983
1816,102804889,98164883,93524876,88944022
1817,121431114,116055412,110679712,105379619
1818,113891118,108921110,103951105,99053183
1819,132362980,126596548,120830109,115148366
1820,148425421,141857344,135289262,128817964
1821,158839212,151740407,144641618,137640680
1822,166247644,158806073,151364529,144015173
1823,165979623,158472222,150964827,143546323
1824,180201066,172229584,164258104,156381249
1825,199422943,190736680,182050408,173465385
1826,212785817,203597401,194408949,185316003
1827,227937729,218009558,208081376,198262858
1828,281788695,269310579,256832520,244485325
1829,275976715,263814479,251652229,239617384
1830,311845400,298362769,284880064,271519191
1831,312400350,298595291,284790236,271117226
1832,314246148,300447101,286648070,272976762
1833,332143351,317307080,302470790,287790196
1834,356980280,341503798,326027324,310680764
1835,380737669,364017933,347298211,330731778
1836,402569163,384974171,367379202,349934573
1837,429135457,410454050,391772625,373258198
1838,473688220,453746259,433804340,414031431
1839,470169653,450054160,429938599,410008772
1840,509744760,487429481,465114233,442971019
1841,478696743,457862120,437027462,416368872
1842,514598020,492985125,471372292,449953928
1843,552972357,529526480,506080592,482844538
1844,607724926,581934415,556143945,530570614
1845,634836391,607667991,580499599,553563121
1846,661224850,633872561,606520236,579405427
1847,607400485,581683490,555966325,530467751
1848,525297190,503249031,481200808,459334170
1849,418070658,400078276,382085878,364245621
1850,583319295,557947071,532574862,507449596
1851,704249449,673135493,642021548,611219677
1852,694096263,664041043,633985799,604317122
1853,772981042,739700445,706419971,673464510
1854,791156252,756904957,722653652,688745673
1855,803725562,769101636,734477875,700210017
1856,820461959,784833893,749205786,713945139
1857,846124188,809699872,773275599,737229422
1858,868158524,830170776,792183037,754580307
1859,821480119,786088964,750697777,715679861
1860,948673093,907355962,866038869,825167128
1861,919869115,879738785,839608349,799870160
1862,944629327,903344159,862058926,821194181
1863,1011658390,967374108,923089888,879247186
1864,979407201,935700251,891993199,848728887
1865,1055866687,1009511996,963157268,917280704
1866,997429739,953559903,909690050,866225028
1867,1115929364,1066622731,1017316309,968474121
1868,1132687845,1081645838,1030603814,980062268
1869,1170149211,1118322268,1066495283,1015179382
1870,1032181946,985800079,939418312,893494244
1871,967489608,924444903,881400237,838762614
1872,1064225000,1016551836,968878584,921669697
1873,1072000171,1024496275,976992351,929984282
1874,1193101009,1140094230,1087087350,1034596366
1875,1134717285,1084072610,1033427730,983268546
1876,1208700906,1154737465,1100774006,1047375551
1877,1184206327,1130838648,1077471051,1024646468
1878,1181753460,1127491765,1073230065,1019516124
1879,1139835063,1087221113,1034606964,982562118
1880,964275423,919739682,875203953,831211960
1881,979754687,934720599,889686434,845194581
1882,1079140959,1029838376,980535885,931827656
1883,1020899021,972884388,924869765,877449151
1884,1022945503,975098616,927251549,880003954
1885,1064123299,1014644054,965164799,916278914
1886,1075841557,1024710031,973578445,923057629
1887,1121947752,1068902301,1015856706,963459265
1888,1117675144,1064397503,1011119970,958535665
1889,1147008738,1092431997,1037855175,983976094
1890,1208046677,1150024203,1092001645,1034679831
1891,1231099224,1171855029,1112610515,1054119490
1892,1289644437,1227556247,1165468131,1104183059
1893,1350130512,1284716999,1219303265,1154697377
1894,1312379519,1248619618,1184859839,1121938264
1895,1389533184,1322069883,1254606678,1187999487
1896,1459964689,1388536197,1317107774,1246605807
1897,1516642780,1441811847,1366980516,1293110786
1898,1554528278,1478780901,1403033209,1328224571
1899,1609219646,1530177858,1451136243,1373082979
1900,1690094414,1606392346,1522690440,1440077544
1901,1790393305,1702564630,1614735890,1528036115
1902,1882804352,1790336181,1697868151,1606515648
1903,1924759531,1829232395,1733705314,1639372468
1904,2110181655,2006111726,1902042265,1799273329
1905,2154298110,2047867899,1941437867,1836323232
1906,2330573267,2214492374,2098411401,1983752639
1907,2346944121,2230352683,2113760893,1998622831
1908,2483529891,2360032770,2236535891,2114593577
1909,2214518562,2105243963,1995969820,1887810026
1910,2211912088,2102373515,1992834920,1884471374
1911,2236565951,2125823121,2015080340,1905461484
1912,2268742310,2156352806,2043963557,1932753072
1913,2413693090,2294067728,2174441898,2056027935
1914,2027699437,1926513273,1825327070,1725203759
1915,1370977148,1303297264,1235617426,1168625021
1916,1231670576,1171078219,1110485864,1050500954
1917,1141179119,1085432758,1029686498,974527390
1918,1068787156,1016934391,965081496,913745178
1919,1135650648,1081374197,1027097636,973399877
1920,1351963358,1287235927,1222508375,1158453926
1921,1387044350,1320511009,1253977622,1188155428
1922,1486136046,1414708655,1343281300,1272586396
1923,914451719,871344259,828236770,785693343
1924,746239271,710986057,675732868,640929387
1925,992172010,945628605,899085322,853150533
1926,982432118,936510075,890587902,845303194
1927,1029299837,980687862,932075913,884139332
1928,1091456159,1039958071,988459899,937708695
1929,1063398630,1013045054,962691583,913050739
1930,1101406727,1048719083,996031271,944150538
1931,990021637,942931424,895841150,849445682
1932,898736759,855770817,812804937,770444945
1933,872121834,830591159,789060526,748151663
1934,799878805,761518966,723159261,685359735
1935,825547490,786257433,746967337,708281037
1936,799049458,761183498,723317580,685994632
1937,813364662,774678308,735991926,697888981
1938,803206492,764948806,726691110,689017287
1939,738466019,703249641,668033324,633336194
1940,559848872,533032165,506215492,479788880
1941,495517999,471714404,447910821,424458047
1942,421876789,401658224,381439636,361514367
1943,475173173,452617040,430060916,407809310
1944,279853053,266778983,253704949,240818272
1945,176399159,168184288,159969408,151855222
1946,247903164,236775911,225648654,214666163
1947,382115921,364816122,347516336,330444173
1948,486724314,464752786,442781283,421108626
1949,613015380,585343550,557671754,530356164
1950,767332179,730914857,694497573,658488772
1951,679405479,648782965,618160465,587960904
1952,762060715,727572130,693083667,659055513
1953,839314426,800951731,762588999,724763843
1954,940504969,898127642,855750202,813944649
1955,1007851892,962537931,917223957,872575172
1956,1138751386,1087542982,1036334853,985871062
1957,1140837731,1089573269,1038308674,987758338
1958,1219979772,1165348497,1110717199,1056862124
1959,1327581864,1267437537,1207293204,1148012607
1960,1459514900,1393555123,1327595095,1262553799
1961,1479751509,1412675813,1345600146,1279485019
1962,1655148057,1580309510,1505470919,1431685189
1963,1654965150,1579969881,1504974325,1431038172
1964,1672086232,1596843925,1521601452,1447467850
1965,1913360399,1826131522,1738902872,1652994837
1966,1867083544,1782719808,1698356359,1615255645
1967,2052996337,1960856749,1868716834,1777977609
1968,2114934651,2020879405,1926823976,1834327984
1969,2071743302,1979404568,1887065977,1796249739
1970,2094937396,2002100969,1909264825,1817991703
1971,1908371206,1823539358,1738707175,1655393822
1972,1846125872,1764867395,1683608768,1603895430
1973,1764849630,1687087656,1609326017,1533034309
1974,1761303687,1683063588,1604823441,1528085411
1975,1788099040,1708913620,1629728053,1552143389
1976,1658347504,1584739169,1511130493,1439039165
1977,1723296117,1646950535,1570605153,1495834711
1978,1764068292,1685987833,1607907339,1531454252
1979,1744239630,1667105373,1589971199,1514465120
1980,1826691985,1745938102,1665184189,1586129880
1981,1773117315,1693928539,1614739839,1537231266
1982,1751721402,1674053349,1596385107,1520399335
1983,1786310007,1706931739,1627553091,1549907135
1984,1743164647,1665061307,1586958086,1510626987
1985,1722515701,1645433658,1568351441,1492964173
1986,1664645391,1589766670,1514888065,1441701660
1987,1661042720,1586047666,1511053008,1437667195
1988,1745667953,1666986544,1588305229,1511317267
1989,1734776662,1655869282,1576962003,1499846124
1990,1733910393,1656391806,1578873301,1503162393
1991,1653211111,1578679619,1504148324,1431401610
1992,1640413782,1566672820,1492931875,1421012303
1993,1768359929,1688703913,1609048185,1531511159
1994,1832406386,1749203867,1666001284,1584977940
1995,1824006331,1742329661,1660653188,1581190210
1996,1765345570,1686053553,1606761552,1529615895
1997,1787376455,1707313022,1627249954,1549358155
1998,1843353637,1761106539,1678859601,1598758365
1999,1961990983,1874109464,1786227774,1700655553
2000,2126782794,2031235204,1935687795,1842584740
2001,2187847142,2090414427,1992981471,1898062799
2002,2324839715,2221133678,2117427360,2016365875
2003,2530804625,2417118469,2303432725,2192643351
2004,2721343507,2598992383,2476641627,2357328102
2005,2748624139,2625630545,2502636643,2382674564
2006,2860485267,2732722999,2604961072,2480294991
2007,3333247929,3184440563,3035633678,2890561437
2008,3360937653,3209060570,3057183796,2908804904
2009,3477449881,3312383713,3147317106,2985475206
2010,3365284956,3205326407,3045368391,2888173811
2011,4148356086,3944109634,3739862695,3537484801
2012,5210019614,4945264195,4680509327,4417442334
2013,9549586686,9099037329,8648489269,8200409078
2014,6178018735,5852911485,5527806071,5204181910
2015,6648803689,6297445102,5946086704,5596260543
2016,6407329425,6067312225,5727295186,5388731759
2017,7023663777,6652872109,6282079757,5913108567
2018,6183083085,5849548048,5516014065,5184129385
2019,5421327151,5125703842,4830080434,4535901874
