phrase,frequency,inDict
ad absurdem,9.280627650535392e-08,0
qui bono,9.069704294841407e-08,0
jus primae noctis,9.069704294841407e-08,1
pluralis majestatis,9.069704294841407e-08,0
cacoethes scribendi,9.069704294841407e-08,1
in summa,9.069704294841407e-08,0
in dubiis libertas,8.85878093914742e-08,0
quod vide,8.85878093914742e-08,1
hic sunt dracones,8.85878093914742e-08,0
amor patriae,8.85878093914742e-08,1
lex domicilii,8.85878093914742e-08,1
ars amatoria,8.85878093914742e-08,0
ad astra per aspera,8.85878093914742e-08,1
mare clausum,8.85878093914742e-08,1
dolus specialis,8.647857583453435e-08,0
arcana imperii,8.647857583453435e-08,0
silva rerum,8.647857583453435e-08,0
secundum artem,8.647857583453435e-08,1
ne cede malis,8.647857583453435e-08,1
ad unum,8.436934227759448e-08,0
acta diurna,8.436934227759448e-08,0
vera natura,8.436934227759448e-08,0
ab intestato,8.436934227759448e-08,1
semper paratus,8.436934227759448e-08,1
in rerum natura,8.436934227759448e-08,1
rerum cognoscere causas,8.436934227759448e-08,0
laudator temporis acti,8.226010872065463e-08,1
de die in diem,8.226010872065463e-08,1
usque ad finem,8.226010872065463e-08,0
custos morum,8.226010872065463e-08,1
nemo judex in causa sua,8.226010872065463e-08,0
in gremio,8.226010872065463e-08,1
opus citatum,8.226010872065463e-08,1
ave atque vale,8.015087516371475e-08,1
hortus siccus,8.015087516371475e-08,1
sine loco,8.015087516371475e-08,0
lux aeterna,8.015087516371475e-08,0
per procurationem,8.015087516371475e-08,1
nil admirari,8.015087516371475e-08,1
flatus vocis,8.015087516371475e-08,1
a mari usque ad mare,8.015087516371475e-08,1
toto caelo,8.015087516371475e-08,1
salus populi suprema lex,7.80416416067749e-08,1
pecunia non olet,7.80416416067749e-08,0
iura novit curia,7.80416416067749e-08,0
per pedes,7.593240804983503e-08,0
fac totum,7.593240804983503e-08,1
semper eadem,7.593240804983503e-08,1
missa solemnis,7.593240804983503e-08,0
circulus vitiosus,7.593240804983503e-08,0
pro domo,7.593240804983503e-08,0
ad limina apostolorum,7.593240804983503e-08,0
cor unum,7.382317449289516e-08,0
ad lucem,7.382317449289516e-08,0
aude sapere,7.382317449289516e-08,0
ad clerum,7.382317449289516e-08,0
et hoc genus omne,7.171394093595531e-08,1
sub modo,7.171394093595531e-08,1
de rerum natura,7.171394093595531e-08,0
philosophia prima,7.171394093595531e-08,1
abusus non tollit usum,7.171394093595531e-08,1
hic jacet,7.171394093595531e-08,1
quantum sufficit,6.960470737901544e-08,1
totus tuus,6.960470737901544e-08,0
crescit eundo,6.960470737901544e-08,1
brevi manu,6.960470737901544e-08,0
oratio obliqua,6.960470737901544e-08,1
locus minoris resistentiae,6.749547382207559e-08,0
per ardua ad astra,6.749547382207559e-08,0
ad patres,6.749547382207559e-08,1
habemus papam,6.749547382207559e-08,1
fiat voluntas tua,6.749547382207559e-08,0
punctum saliens,6.749547382207559e-08,0
locus poenitentiae,6.749547382207559e-08,1
oratio recta,6.538624026513572e-08,0
rerum novarum,6.538624026513572e-08,0
alea jacta est,6.538624026513572e-08,1
mobile vulgus,6.538624026513572e-08,0
in effigie,6.327700670819587e-08,0
auri sacra fames,6.327700670819587e-08,0
a minore,6.327700670819587e-08,1
ius primae noctis,6.327700670819587e-08,0
in nubibus,6.327700670819587e-08,0
jus in re,6.1167773151256e-08,1
vexata quaestio,6.1167773151256e-08,0
de dato,6.1167773151256e-08,0
adaequatio rei et intellectus,6.1167773151256e-08,0
si monumentum requiris circumspice,6.1167773151256e-08,1
audentes fortuna juvat,6.1167773151256e-08,1
suum cuique tribuere,5.9058539594316136e-08,0
ita est,5.9058539594316136e-08,0
coram publico,5.9058539594316136e-08,1
lux et veritas,5.9058539594316136e-08,0
sic et non,5.9058539594316136e-08,0
annuit coeptis,5.9058539594316136e-08,1
hoc loco,5.9058539594316136e-08,0
inter nos,5.9058539594316136e-08,1
lux mundi,5.9058539594316136e-08,0
in distans,5.6949306037376276e-08,0
de gratia,5.6949306037376276e-08,1
ne varietur,5.6949306037376276e-08,1
oderint dum metuant,5.6949306037376276e-08,1
hypotheses non fingo,5.6949306037376276e-08,0
de mortuis nil nisi bonum,5.6949306037376276e-08,1
fidei defensor,5.6949306037376276e-08,1
respice finem,5.6949306037376276e-08,1
per procura,5.6949306037376276e-08,0
post tenebras lux,5.6949306037376276e-08,1
salve regina,5.4840072480436416e-08,0
index nominum,5.4840072480436416e-08,0
in facie curiae,5.4840072480436416e-08,1
pro memoria,5.4840072480436416e-08,1
post mortem auctoris,5.4840072480436416e-08,0
ad eundem gradum,5.2730838923496556e-08,1
vinculum juris,5.2730838923496556e-08,0
arbiter elegantiae,5.2730838923496556e-08,1
bellum iustum,5.2730838923496556e-08,0
aqua mirabilis,5.2730838923496556e-08,1
corruptio optimi pessima,5.2730838923496556e-08,1
dulce et utile,5.2730838923496556e-08,0
ab epistulis,5.2730838923496556e-08,0
sancta simplicitas,5.0621605366556696e-08,1
affectio societatis,5.0621605366556696e-08,0
verbum caro factum est,5.0621605366556696e-08,0
ore rotundo,5.0621605366556696e-08,1
secessio plebis,5.0621605366556696e-08,0
nemo iudex in causa sua,5.0621605366556696e-08,0
index rerum,5.0621605366556696e-08,1
pollice verso,5.0621605366556696e-08,1
opus latericium,5.0621605366556696e-08,1
cui prodest,5.0621605366556696e-08,0
aurea mediocritas,5.0621605366556696e-08,1
dura lex sed lex,5.0621605366556696e-08,0
semper maior,4.851237180961682e-08,0
ut sit finis litium,4.851237180961682e-08,0
fides quae creditur,4.851237180961682e-08,0
animus furandi,4.851237180961682e-08,1
ad oculos,4.851237180961682e-08,0
solus ipse,4.851237180961682e-08,0
ad usum delphini,4.851237180961682e-08,1
lux in tenebris lucet,4.851237180961682e-08,0
verbum dei,4.851237180961682e-08,0
cepi corpus,4.851237180961682e-08,0
utile dulci,4.851237180961682e-08,1
artium baccalaureus,4.851237180961682e-08,0
cur deus homo,4.640313825267696e-08,0
in omnibus caritas,4.640313825267696e-08,0
ex abundanti cautela,4.640313825267696e-08,0
ignorantia legis neminem excusat,4.640313825267696e-08,1
trustee ex maleficio,4.640313825267696e-08,1
homo antecessor,4.640313825267696e-08,0
salvator mundi,4.640313825267696e-08,0
concordia discors,4.640313825267696e-08,1
extra moenia,4.640313825267696e-08,1
magis amica veritas,4.640313825267696e-08,0
anno hegirae,4.640313825267696e-08,1
nunc est bibendum,4.42939046957371e-08,0
in pleno,4.42939046957371e-08,0
et tu brute,4.42939046957371e-08,1
per capsulam,4.42939046957371e-08,0
in dulci jubilo,4.42939046957371e-08,0
tempora mutantur,4.42939046957371e-08,1
desipere in loco,4.42939046957371e-08,1
re vera,4.42939046957371e-08,0
ne quid nimis,4.42939046957371e-08,1
obscurum per obscurius,4.42939046957371e-08,1
age quod agis,4.42939046957371e-08,1
tuum est,4.42939046957371e-08,0
memento vivere,4.218467113879724e-08,0
ab inconvenienti,4.218467113879724e-08,1
natura non facit saltum,4.218467113879724e-08,1
consummatum est,4.218467113879724e-08,0
vox clamantis in deserto,4.218467113879724e-08,1
ver sacrum,4.218467113879724e-08,0
locus sigilli,4.218467113879724e-08,1
pax vobiscum,4.218467113879724e-08,1
ter in die,4.218467113879724e-08,0
pallida mors,4.218467113879724e-08,1
circulus in probando,4.218467113879724e-08,1
in posterum,4.0075437581857375e-08,0
sic passim,4.0075437581857375e-08,1
lex loci actus,4.0075437581857375e-08,1
ut prosim,4.0075437581857375e-08,0
sapienti sat,4.0075437581857375e-08,0
summum jus,4.0075437581857375e-08,1
liquor cerebrospinalis,4.0075437581857375e-08,0
ex juvantibus,4.0075437581857375e-08,0
homo sum,4.0075437581857375e-08,1
fides qua creditur,4.0075437581857375e-08,0
manu propria,4.0075437581857375e-08,0
legalis homo,4.0075437581857375e-08,1
ad undas,3.796620402491752e-08,0
in omnia paratus,3.796620402491752e-08,1
nulli secundus,3.796620402491752e-08,1
via appia,3.796620402491752e-08,0
ad meliora,3.796620402491752e-08,0
urbs in horto,3.796620402491752e-08,0
probatum est,3.796620402491752e-08,0
de omnibus dubitandum,3.5856970467977655e-08,0
fluctuat nec mergitur,3.5856970467977655e-08,1
lex loci celebrationis,3.5856970467977655e-08,1
deus otiosus,3.5856970467977655e-08,0
ex abrupto,3.5856970467977655e-08,0
jus utendi,3.5856970467977655e-08,1
opere citato,3.5856970467977655e-08,1
decus et tutamen,3.5856970467977655e-08,0
ante cibum,3.5856970467977655e-08,0
per fas et nefas,3.5856970467977655e-08,0
sunt lacrimae rerum,3.5856970467977655e-08,1
semper idem,3.5856970467977655e-08,1
fugit irreparabile tempus,3.5856970467977655e-08,0
odi et amo,3.5856970467977655e-08,1
ad arma,3.3747736911037795e-08,0
ego te absolvo,3.3747736911037795e-08,0
quid agis,3.3747736911037795e-08,0
non prosequitur,3.3747736911037795e-08,1
dei gratia regina,3.3747736911037795e-08,0
nemo me impune lacessit,3.3747736911037795e-08,1
labor omnia vincit,3.3747736911037795e-08,1
repetitio est mater studiorum,3.3747736911037795e-08,0
coram populo,3.3747736911037795e-08,1
deo gratias,3.3747736911037795e-08,1
sic itur ad astra,3.3747736911037795e-08,1
civis romanus sum,3.3747736911037795e-08,0
gloria in excelsis deo,3.3747736911037795e-08,0
ignotum per ignotius,3.3747736911037795e-08,1
lumen naturale,3.3747736911037795e-08,0
quieta non movere,3.3747736911037795e-08,0
discordia concors,3.3747736911037795e-08,1
temet nosce,3.3747736911037795e-08,0
nomen nescio,3.3747736911037795e-08,0
de bonis asportatis,3.1638503354097935e-08,1
et sequentes,3.1638503354097935e-08,1
gaudium et spes,3.1638503354097935e-08,0
laus deo,3.1638503354097935e-08,1
licentia poetica,3.1638503354097935e-08,0
in medio stat virtus,3.1638503354097935e-08,0
pia fraus,3.1638503354097935e-08,0
artium magister,3.1638503354097935e-08,0
magna mater,3.1638503354097935e-08,0
ad maiorem dei gloriam,3.1638503354097935e-08,0
artibus et historiae,3.1638503354097935e-08,0
ab absurdo,3.1638503354097935e-08,1
animus donandi,3.1638503354097935e-08,0
ne temere,3.1638503354097935e-08,0
et in arcadia ego,3.1638503354097935e-08,1
jus in rem,3.1638503354097935e-08,1
nihil interit,3.1638503354097935e-08,0
post obitum,3.1638503354097935e-08,1
de revolutionibus,3.1638503354097935e-08,0
alterum non laedere,3.1638503354097935e-08,0
quasi ex contractu,3.1638503354097935e-08,1
disce aut discede,3.1638503354097935e-08,0
contra pacem,3.1638503354097935e-08,1
bona fortuna,3.1638503354097935e-08,0
rectus in curia,2.9529269797158068e-08,1
corpus vile,2.9529269797158068e-08,1
pax et bonum,2.9529269797158068e-08,0
esto perpetua,2.9529269797158068e-08,1
hic sunt leones,2.9529269797158068e-08,0
ab ovo usque ad mala,2.9529269797158068e-08,1
varia lectio,2.9529269797158068e-08,1
promotor fidei,2.9529269797158068e-08,1
pro aris et focis,2.9529269797158068e-08,1
in cauda venenum,2.9529269797158068e-08,0
exeunt omnes,2.9529269797158068e-08,1
lex loci solutionis,2.9529269797158068e-08,1
filius nullius,2.9529269797158068e-08,1
absit omen,2.9529269797158068e-08,1
opus tesselatum,2.9529269797158068e-08,1
cura te ipsum,2.9529269797158068e-08,1
cadit quaestio,2.9529269797158068e-08,1
modus agendi,2.7420036240218205e-08,0
desiderantes meliorem patriam,2.7420036240218205e-08,0
semper vigilans,2.7420036240218205e-08,0
solus christus,2.7420036240218205e-08,0
idem quod,2.7420036240218205e-08,0
homo mensura,2.7420036240218205e-08,1
sine tempore,2.7420036240218205e-08,0
litterae humaniores,2.7420036240218205e-08,1
in foro conscientiae,2.7420036240218205e-08,1
de integro,2.7420036240218205e-08,1
capax dei,2.7420036240218205e-08,0
vincit qui se vincit,2.7420036240218205e-08,0
iuris tantum,2.7420036240218205e-08,0
pleno jure,2.7420036240218205e-08,1
mundus vult decipi,2.7420036240218205e-08,0
in nomine domini,2.7420036240218205e-08,0
durante bene placito,2.7420036240218205e-08,1
sesquipedalia verba,2.7420036240218205e-08,0
juris tantum,2.5310802683278345e-08,0
delectatio morosa,2.5310802683278345e-08,0
nemine dissentiente,2.5310802683278345e-08,1
regium donum,2.5310802683278345e-08,1
communibus annis,2.5310802683278345e-08,0
ab antiquo,2.5310802683278345e-08,0
me judice,2.5310802683278345e-08,1
etsi deus non daretur,2.5310802683278345e-08,0
radix malorum est cupiditas,2.5310802683278345e-08,0
anno urbis conditae,2.5310802683278345e-08,1
modus procedendi,2.5310802683278345e-08,0
timor mortis conturbat me,2.5310802683278345e-08,0
in fidem,2.5310802683278345e-08,0
vis legis,2.5310802683278345e-08,0
habent sua fata libelli,2.5310802683278345e-08,0
video et taceo,2.5310802683278345e-08,0
agere sequitur,2.5310802683278345e-08,0
forum romanum,2.5310802683278345e-08,0
dictum meum pactum,2.5310802683278345e-08,0
in flore,2.320156912633848e-08,0
in naturalibus,2.320156912633848e-08,0
bona notabilia,2.320156912633848e-08,1
horresco referens,2.320156912633848e-08,0
sine metu,2.320156912633848e-08,0
ad abundantiam,2.320156912633848e-08,0
tempus vernum,2.320156912633848e-08,0
ars artium,2.320156912633848e-08,1
luctor et emergo,2.320156912633848e-08,0
ex injuria jus non oritur,2.320156912633848e-08,0
ut omnes unum sint,2.320156912633848e-08,0
jus accrescendi,2.320156912633848e-08,1
mirabile visu,2.320156912633848e-08,1
jus naturae,2.320156912633848e-08,1
pax christi,2.320156912633848e-08,0
ex dolo malo,2.320156912633848e-08,0
reductio ad hitlerum,2.320156912633848e-08,0
opus operantis,2.320156912633848e-08,1
corpus juris civilis,2.320156912633848e-08,0
de civitate dei,2.320156912633848e-08,0
jus postliminii,2.320156912633848e-08,1
jus inter gentes,2.320156912633848e-08,1
docendo discimus,2.320156912633848e-08,1
ex oriente lux,2.320156912633848e-08,0
quam diu,2.320156912633848e-08,1
cupio dissolvi,2.109233556939862e-08,0
gloria patri,2.109233556939862e-08,1
veritas in caritate,2.109233556939862e-08,0
gaudeamus igitur,2.109233556939862e-08,1
et lux in tenebris lucet,2.109233556939862e-08,0
castigat ridendo mores,2.109233556939862e-08,0
opus musivum,2.109233556939862e-08,1
rorate coeli,2.109233556939862e-08,0
finis coronat opus,2.109233556939862e-08,1
decessit sine prole,2.109233556939862e-08,0
ens causa sui,2.109233556939862e-08,0
pax tecum,2.109233556939862e-08,0
natale solum,2.109233556939862e-08,0
beati possidentes,2.109233556939862e-08,0
ratione soli,2.109233556939862e-08,0
sit venia verbo,2.109233556939862e-08,0
non vi sed saepe cadendo,2.109233556939862e-08,0
ad unguem,2.109233556939862e-08,1
sub divo,2.109233556939862e-08,0
fortes in fide,2.109233556939862e-08,0
gradatim ferociter,2.109233556939862e-08,0
historia magistra vitae,2.109233556939862e-08,0
in utroque jure,2.109233556939862e-08,1
nulla dies sine linea,2.109233556939862e-08,0
acta non verba,2.109233556939862e-08,0
combinatio nova,2.109233556939862e-08,0
quasi modo geniti,2.109233556939862e-08,0
summa potestas,1.898310201245876e-08,0
ut infra,1.898310201245876e-08,1
commune bonum,1.898310201245876e-08,0
poeta laureatus,1.898310201245876e-08,0
magnum bonum,1.898310201245876e-08,0
de te fabula narratur,1.898310201245876e-08,1
leges sine moribus vanae,1.898310201245876e-08,0
vox nihili,1.898310201245876e-08,0
de oppresso liber,1.898310201245876e-08,0
ratum et consummatum,1.898310201245876e-08,0
animal sociale,1.898310201245876e-08,0
acta sanctorum,1.898310201245876e-08,0
nihil sub sole novum,1.898310201245876e-08,0
est modus in rebus,1.898310201245876e-08,1
aequo animo,1.898310201245876e-08,1
ab imo pectore,1.898310201245876e-08,0
nemo propheta in patria,1.898310201245876e-08,0
quid nunc,1.898310201245876e-08,1
obsta principiis,1.898310201245876e-08,0
nihil ad rem,1.898310201245876e-08,0
congregatio de propaganda fide,1.898310201245876e-08,0
quater in die,1.898310201245876e-08,0
aes alienum,1.898310201245876e-08,0
biblia pauperum,1.898310201245876e-08,1
experto crede,1.898310201245876e-08,1
splendide mendax,1.898310201245876e-08,1
hoc age,1.898310201245876e-08,1
qui tacet consentire videtur,1.898310201245876e-08,0
ad arbitrium,1.6873868455518894e-08,1
dies non juridicus,1.6873868455518894e-08,1
verbum domini,1.6873868455518894e-08,0
tabula gratulatoria,1.6873868455518894e-08,0
ira deorum,1.6873868455518894e-08,0
veritas vincit,1.6873868455518894e-08,0
alis volat propriis,1.6873868455518894e-08,1
durante munere,1.6873868455518894e-08,0
manus dei,1.6873868455518894e-08,0
genus irritabile vatum,1.6873868455518894e-08,0
per angusta ad augusta,1.6873868455518894e-08,1
lex loci rei sitae,1.6873868455518894e-08,1
ad fundum,1.6873868455518894e-08,0
dum vivimus vivamus,1.6873868455518894e-08,1
helluo librorum,1.6873868455518894e-08,0
mens agitat molem,1.6873868455518894e-08,0
quid novi,1.6873868455518894e-08,0
visio dei,1.6873868455518894e-08,0
ex ungue leonem,1.6873868455518894e-08,1
quod computet,1.6873868455518894e-08,1
quaque hora,1.6873868455518894e-08,0
quot homines tot sententiae,1.6873868455518894e-08,1
a capite ad calcem,1.6873868455518894e-08,0
ad perpetuam rei memoriam,1.4764634898579034e-08,0
principiis obsta,1.4764634898579034e-08,0
dominus vobiscum,1.4764634898579034e-08,1
tentanda via,1.4764634898579034e-08,0
mutato nomine,1.4764634898579034e-08,1
sedes apostolica,1.4764634898579034e-08,0
cedant arma togae,1.4764634898579034e-08,1
jus honorarium,1.4764634898579034e-08,1
paucis verbis,1.4764634898579034e-08,1
in pontificalibus,1.4764634898579034e-08,0
anno aetatis suae,1.4764634898579034e-08,1
veritas odium parit,1.4764634898579034e-08,0
ubi solitudinem faciunt pacem appellant,1.4764634898579034e-08,0
aut vincere aut mori,1.4764634898579034e-08,1
ad captandum vulgus,1.4764634898579034e-08,1
capax imperii nisi imperasset,1.4764634898579034e-08,0
sustine et abstine,1.4764634898579034e-08,0
abyssus abyssum invocat,1.4764634898579034e-08,0
ultima forsan,1.4764634898579034e-08,0
votum separatum,1.4764634898579034e-08,0
renovatio urbis,1.4764634898579034e-08,0
inter arma enim silent leges,1.4764634898579034e-08,0
lapsus memoriae,1.4764634898579034e-08,0
de omni re scibili,1.4764634898579034e-08,0
reductio ad infinitum,1.4764634898579034e-08,0
simplex sigillum veri,1.4764634898579034e-08,0
in puris naturalibus,1.4764634898579034e-08,0
aliquid stat pro aliquo,1.4764634898579034e-08,0
per aes et libram,1.4764634898579034e-08,1
volenti non fit iniuria,1.4764634898579034e-08,0
quod scripsi scripsi,1.4764634898579034e-08,0
vivat rex,1.4764634898579034e-08,0
talis qualis,1.4764634898579034e-08,0
de minimis non curat praetor,1.4764634898579034e-08,0
gutta cavat lapidem,1.2655401341639172e-08,0
divinum officium,1.2655401341639172e-08,0
videre licet,1.2655401341639172e-08,0
jus abutendi,1.2655401341639172e-08,1
naturalis historia,1.2655401341639172e-08,0
fugit hora,1.2655401341639172e-08,0
ab irato,1.2655401341639172e-08,0
ultimo mense,1.2655401341639172e-08,0
a posse ad esse,1.2655401341639172e-08,0
nec temere nec timide,1.2655401341639172e-08,0
sine anno,1.2655401341639172e-08,0
flagellum dei,1.2655401341639172e-08,0
sub finem,1.2655401341639172e-08,0
experientia docet,1.2655401341639172e-08,0
in hunc effectum,1.2655401341639172e-08,0
verbi gratia,1.2655401341639172e-08,0
aqua destillata,1.2655401341639172e-08,1
audaces fortuna iuvat,1.2655401341639172e-08,0
semper ardens,1.2655401341639172e-08,0
vincit qui patitur,1.2655401341639172e-08,0
tuitio fidei et obsequium pauperum,1.2655401341639172e-08,0
caput inter nubila,1.2655401341639172e-08,0
pro nunc,1.2655401341639172e-08,0
vincit omnia veritas,1.2655401341639172e-08,1
draco dormiens nunquam titillandus,1.2655401341639172e-08,0
spectemur agendo,1.2655401341639172e-08,0
a minore ad maius,1.2655401341639172e-08,0
ad victoriam,1.2655401341639172e-08,0
dies ater,1.2655401341639172e-08,0
tempus edax rerum,1.2655401341639172e-08,1
non scholae sed vitae discimus,1.2655401341639172e-08,0
cuique suum,1.2655401341639172e-08,1
pro opportunitate,1.2655401341639172e-08,0
de dolo,1.2655401341639172e-08,1
beatae memoriae,1.2655401341639172e-08,0
de bello gallico,1.2655401341639172e-08,0
et facta est lux,1.2655401341639172e-08,0
repetita iuvant,1.2655401341639172e-08,0
jus fruendi,1.2655401341639172e-08,1
nihil novi sub sole,1.054616778469931e-08,0
pater historiae,1.054616778469931e-08,0
annus terribilis,1.054616778469931e-08,0
lupus in fabula,1.054616778469931e-08,0
obtorto collo,1.054616778469931e-08,0
redde rationem,1.054616778469931e-08,0
fervet opus,1.054616778469931e-08,0
canis canem edit,1.054616778469931e-08,0
ad vitam aut culpam,1.054616778469931e-08,1
mox nox,1.054616778469931e-08,0
lux libertas,1.054616778469931e-08,0
gens una sumus,1.054616778469931e-08,0
in totidem verbis,1.054616778469931e-08,0
absit invidia,1.054616778469931e-08,1
veritas vos liberabit,1.054616778469931e-08,1
splendor sine occasu,1.054616778469931e-08,0
aegri somnia,1.054616778469931e-08,1
utraque unum,1.054616778469931e-08,0
vade retro satana,1.054616778469931e-08,0
nec pluribus impar,1.054616778469931e-08,0
vires in numeris,1.054616778469931e-08,0
in pace requiescat,1.054616778469931e-08,0
corruptus in extremis,1.054616778469931e-08,0
rem acu tetigisti,1.054616778469931e-08,1
hora somni,1.054616778469931e-08,0
non omnis moriar,1.054616778469931e-08,1
quid est veritas,1.054616778469931e-08,0
doli capax,1.054616778469931e-08,1
fac et spera,1.054616778469931e-08,0
nuda veritas,1.054616778469931e-08,0
per pares,1.054616778469931e-08,1
alieni juris,1.054616778469931e-08,1
index librorum prohibitorum,1.054616778469931e-08,1
ars celare artem,1.054616778469931e-08,0
pace tua,1.054616778469931e-08,0
calix meus inebrians,1.054616778469931e-08,0
jus relictae,1.054616778469931e-08,1
latet anguis in herba,1.054616778469931e-08,0
ductus exemplo,1.054616778469931e-08,0
te deum laudamus,1.054616778469931e-08,1
vita patris,1.054616778469931e-08,0
jure matris,1.054616778469931e-08,0
quinque voces,1.054616778469931e-08,1
hoc erat in votis,1.054616778469931e-08,0
gens togata,1.054616778469931e-08,0
aut disce aut discede,1.054616778469931e-08,0
pia desideria,8.436934227759447e-09,0
ita vero,8.436934227759447e-09,0
quocunque jeceris stabit,8.436934227759447e-09,0
locus desperatus,8.436934227759447e-09,0
semper apertus,8.436934227759447e-09,0
ecce signum,8.436934227759447e-09,1
opera operata,8.436934227759447e-09,1
amicus certus in re incerta,8.436934227759447e-09,0
vires acquirit eundo,8.436934227759447e-09,0
durante vita,8.436934227759447e-09,1
dulcius ex asperis,8.436934227759447e-09,0
rituale romanum,8.436934227759447e-09,0
amat victoria curam,8.436934227759447e-09,0
stante pede,8.436934227759447e-09,0
vive ut vivas,8.436934227759447e-09,0
viriliter agite,8.436934227759447e-09,0
vivat crescat floreat,8.436934227759447e-09,0
acta est fabula,8.436934227759447e-09,1
dei gratia rex,8.436934227759447e-09,0
hinc illae lacrimae,8.436934227759447e-09,1
veritate et caritate,8.436934227759447e-09,0
corpus juris canonici,8.436934227759447e-09,0
veritas liberabit vos,8.436934227759447e-09,0
jure humano,8.436934227759447e-09,0
facio ut des,8.436934227759447e-09,1
viriliter age,8.436934227759447e-09,0
canes pugnaces,8.436934227759447e-09,0
arare litus,8.436934227759447e-09,0
hic habitat felicitas,8.436934227759447e-09,0
humilitas occidit superbiam,8.436934227759447e-09,0
esto quod es,8.436934227759447e-09,0
dulce bellum inexpertis,8.436934227759447e-09,0
per mare per terram,8.436934227759447e-09,0
reformatio in pejus,8.436934227759447e-09,0
de fideli,8.436934227759447e-09,0
more majorum,8.436934227759447e-09,0
absente reo,8.436934227759447e-09,1
sit tibi terra levis,8.436934227759447e-09,0
tria juncta in uno,8.436934227759447e-09,1
beati pauperes spiritu,8.436934227759447e-09,0
ex supra,8.436934227759447e-09,0
sidereus nuncius,8.436934227759447e-09,0
vitam impendere vero,8.436934227759447e-09,0
contraria contrariis curantur,8.436934227759447e-09,0
felix qui potuit rerum cognoscere causas,8.436934227759447e-09,0
audere est facere,8.436934227759447e-09,0
pictor ignotus,8.436934227759447e-09,0
ab uno disce omnes,8.436934227759447e-09,1
exceptis excipiendis,8.436934227759447e-09,1
longo intervallo,8.436934227759447e-09,0
abundans cautela non nocet,8.436934227759447e-09,0
dulce est desipere in loco,8.436934227759447e-09,1
regressus ad uterum,8.436934227759447e-09,0
nuper rosarum flores,8.436934227759447e-09,0
navigare necesse est,8.436934227759447e-09,0
semper fortis,8.436934227759447e-09,0
jus proprietatis,8.436934227759447e-09,1
palmam qui meruit ferat,8.436934227759447e-09,0
sub tuum praesidium,8.436934227759447e-09,0
amare et sapere vix deo conceditur,6.327700670819586e-09,0
bella gerant alii,6.327700670819586e-09,0
spiritus ubi vult spirat,6.327700670819586e-09,0
scientia vincere tenebras,6.327700670819586e-09,0
qui bene cantat bis orat,6.327700670819586e-09,0
ex curia,6.327700670819586e-09,0
deo optimo maximo,6.327700670819586e-09,0
verbatim et litteratim,6.327700670819586e-09,1
exegi monumentum aere perennius,6.327700670819586e-09,0
ab incunabulis,6.327700670819586e-09,1
quae vide,6.327700670819586e-09,0
hora fugit,6.327700670819586e-09,0
auribus teneo lupum,6.327700670819586e-09,0
vita ante acta,6.327700670819586e-09,0
a verbis ad verbera,6.327700670819586e-09,0
carpe vinum,6.327700670819586e-09,0
ad calendas graecas,6.327700670819586e-09,0
ad pedem litterae,6.327700670819586e-09,0
tusculanae disputationes,6.327700670819586e-09,0
sum quod eris,6.327700670819586e-09,0
corvus oculum corvi non eruit,6.327700670819586e-09,0
semper invicta,6.327700670819586e-09,0
in pari causa,6.327700670819586e-09,1
bellum se ipsum alet,6.327700670819586e-09,0
aut pax aut bellum,6.327700670819586e-09,0
in varietate concordia,6.327700670819586e-09,0
dictum sapienti sat,6.327700670819586e-09,0
cui in vita,6.327700670819586e-09,1
ut cognoscant te,6.327700670819586e-09,0
hic et ubique,6.327700670819586e-09,1
fama volat,6.327700670819586e-09,0
in spiritu et veritate,6.327700670819586e-09,0
integer vitae scelerisque purus,6.327700670819586e-09,1
amicus humani generis,6.327700670819586e-09,1
uno flatu,6.327700670819586e-09,0
necessitas non habet legem,6.327700670819586e-09,0
margaritas ante porcos,6.327700670819586e-09,0
sub umbra floreo,6.327700670819586e-09,0
vivere est cogitare,6.327700670819586e-09,0
nihil ex nihilo,6.327700670819586e-09,0
diem perdidi,6.327700670819586e-09,0
a maiore ad minus,6.327700670819586e-09,0
a caelo usque ad centrum,6.327700670819586e-09,0
virtus unita fortior,6.327700670819586e-09,0
ius est ars boni et aequi,6.327700670819586e-09,0
amor platonicus,6.327700670819586e-09,0
ab hinc,6.327700670819586e-09,0
sic parvis magna,6.327700670819586e-09,0
gaudeamus hodie,6.327700670819586e-09,0
velut arbor aevo,6.327700670819586e-09,0
mens sibi conscia recti,6.327700670819586e-09,0
amor dei intellectualis,6.327700670819586e-09,0
per ardua ad alta,6.327700670819586e-09,0
jus in personam,6.327700670819586e-09,1
vero nihil verius,6.327700670819586e-09,0
remedia amoris,6.327700670819586e-09,0
vox sanguinis,6.327700670819586e-09,0
post nubila phoebus,6.327700670819586e-09,0
jus ecclesiasticum,6.327700670819586e-09,1
e causa ignota,6.327700670819586e-09,0
vive memor leti,6.327700670819586e-09,0
quod erat faciendum,6.327700670819586e-09,1
semper ad meliora,6.327700670819586e-09,0
sic vos non vobis,6.327700670819586e-09,0
ex astris scientia,6.327700670819586e-09,0
e vestigio,6.327700670819586e-09,0
scientia et sapientia,6.327700670819586e-09,0
sumptibus auctoris,6.327700670819586e-09,0
senatus populusque romanus,6.327700670819586e-09,0
suo loco,6.327700670819586e-09,1
animula vagula blandula,4.2184671138797235e-09,0
cura ut valeas,4.2184671138797235e-09,0
