phrase,frequency,inDict
in excelsis,3.0963548615877174e-06,1
res publica,3.081590226689138e-06,1
et alii,3.0499517233350404e-06,0
primus inter pares,2.967691614614386e-06,1
de re,2.9149607756908894e-06,0
jus soli,2.887540739450671e-06,1
flagrante delicto,2.870666870995152e-06,1
propter hoc,2.870666870995152e-06,1
compos mentis,2.845356068311874e-06,1
sub rosa,2.7715328938189782e-06,1
camera lucida,2.75254979180652e-06,1
jus in bello,2.7272389891232414e-06,0
ex aequo,2.434055524708601e-06,1
pro tanto,2.425618590480841e-06,1
in flagrante delicto,2.3771062186712245e-06,1
summum bonum,2.360232350215705e-06,1
modus ponens,2.2842999421658705e-06,1
homo erectus,2.263207606596472e-06,1
corpus delicti,2.246333738140953e-06,1
jus sanguinis,2.1176704911676213e-06,1
lignum vitae,2.1113427904968018e-06,1
magna carta,2.0712673529149444e-06,1
ad limina,2.062830418687185e-06,0
aurora australis,2.060721185130245e-06,1
annus mirabilis,2.060721185130245e-06,1
bis in die,1.9826795435234703e-06,0
in extenso,1.9025286683597557e-06,1
anno domini,1.9025286683597557e-06,1
cura personalis,1.879327099233417e-06,0
obiter dicta,1.879327099233417e-06,1
vade mecum,1.864562464334838e-06,1
sui iuris,1.849797829436259e-06,0
ratio decidendi,1.847688595879319e-06,1
tu quoque,1.83925166165156e-06,1
perpetuum mobile,1.786520822728063e-06,1
locus classicus,1.7612100200447846e-06,1
ad alta,1.756991552930905e-06,0
incertae sedis,1.7464453851462056e-06,1
nota bene,1.7358992173615065e-06,1
in futuro,1.710588414678228e-06,1
malesuada fames,1.6747314442102505e-06,0
e pluribus unum,1.649420641526972e-06,1
creatio ex nihilo,1.6093452039451149e-06,0
exempli gratia,1.605126736831235e-06,1
aqua vitae,1.5945805690465356e-06,1
in terrorem,1.588252868375716e-06,1
numerus clausus,1.5439589636799788e-06,1
erga omnes,1.5376312630091593e-06,0
cui bono,1.5228666281105805e-06,1
lex talionis,1.5165389274397607e-06,1
ejusdem generis,1.5102112267689412e-06,1
ipse dixit,1.5059927596550614e-06,1
opera omnia,1.5038835260981216e-06,1
sola gratia,1.4933373583134225e-06,0
dementia praecox,1.465917322073204e-06,1
in natura,1.4574803878454449e-06,0
pater familias,1.4300603516052264e-06,1
in pari materia,1.4279511180482864e-06,1
horror vacui,1.4174049502635873e-06,1
obiter dictum,1.4110772495927675e-06,1
pontifex maximus,1.406858782478888e-06,0
lex loci,1.4026403153650085e-06,1
editio princeps,1.3878756804664292e-06,1
ad astra,1.3857664469094891e-06,1
pacta sunt servanda,1.37732951268173e-06,1
damnatio memoriae,1.3309263744290529e-06,0
ipso jure,1.3013971046318949e-06,1
in quarto,1.297178637518015e-06,0
philosophia perennis,1.2866324697333158e-06,1
rara avis,1.2718678348347368e-06,1
ave maria,1.2613216670500374e-06,1
ex hypothesi,1.2613216670500374e-06,1
opus magnum,1.252884732822278e-06,0
functus officio,1.2402293314806389e-06,1
non compos mentis,1.2317923972528794e-06,1
conditio sine qua non,1.2296831636959395e-06,1
ex tempore,1.22546469658206e-06,1
in pari delicto,1.2128092952404206e-06,1
lex fori,1.193826193227962e-06,1
vide infra,1.1664061569877436e-06,0
modus tollens,1.162187689873864e-06,1
de fide,1.160078456316924e-06,1
sede vacante,1.1537507556461043e-06,0
ars poetica,1.1537507556461043e-06,1
mirabile dictu,1.147423054975285e-06,1
ante bellum,1.145313821418345e-06,1
pro patria,1.1242214858489465e-06,1
bona vacantia,1.1221122522920066e-06,1
contra proferentem,1.1052383838364876e-06,0
opus sectile,1.088364515380969e-06,1
de dicto,1.086255281824029e-06,0
