phrase,appear times,frequency
pros and cons,568613,0.0011993376205122457
in vitro,489892,0.0010332966456763828
status quo,479888,0.0010121958731727566
vice versa,470239,0.0009918438785818438
per capita,398836,0.0008412382749156667
in vivo,381216,0.0008040735796423864
per annum,304523,0.0006423101304599976
per se,304428,0.0006421097532720883
de facto,249721,0.0005267199130725793
ad hoc,228545,0.00048205478327082075
in situ,222052,0.00046835952978561024
in fine,219534,0.00046304847968923563
bona fide,155643,0.00032828743850279096
pro bono,145351,0.0003065792067347659
alma mater,120259,0.00025365431832403084
inter alia,95277,0.00020096144560455924
in retrospect,94032,0.0001983354498261691
de novo,85448,0.00018022978897339731
curriculum vitae,81480,0.00017186035021945996
a priori,78394,0.00016535125546274354
a cappella,71445,0.00015069419147556844
prima facie,67943,0.00014330765555916505
alter ego,61485,0.00012968622524844742
et cetera,60025,0.0001266067442553152
modus operandi,56629,0.00011944378709594745
in camera,48210,0.00010168614978007074
per diem,46730,9.856448411579975e-05
pro forma,44594,9.40591612381762e-05
pro rata,43254,9.123278827187679e-05
habeas corpus,39740,8.382094155279011e-05
in utero,37342,7.876299948324832e-05
ex vivo,36205,7.63648009290077e-05
post hoc,30245,6.379376892964613e-05
magnum opus,29794,6.284250459546625e-05
pro se,29263,6.172250157673117e-05
ex parte,28697,6.052867538350322e-05
ad valorem,28590,6.030298739291065e-05
in silico,28450,6.000769469493907e-05
spina bifida,28210,5.9501478641273505e-05
post mortem,24963,5.265279728188978e-05
quid pro quo,22755,4.7995609588166556e-05
ex officio,21947,4.629134887415915e-05
ab initio,21864,4.611628248893314e-05
ad hominem,21776,4.5930669935922434e-05
in pace,21107,4.451959268632967e-05
in absentia,19806,4.17754798287509e-05
de minimis,19357,4.082843396168491e-05
ad infinitum,18797,3.9647263169798584e-05
ad litem,18552,3.913050094834832e-05
amicus curiae,18402,3.881411591480734e-05
aurora borealis,17550,3.7017048924294576e-05
de jure,16926,3.57008871847641e-05
ex post,16516,3.483610142641876e-05
sine qua non,16128,3.4017718806326096e-05
ad nauseam,15739,3.319722695267649e-05
sui generis,14431,3.0438349460199147e-05
homo sapiens,13941,2.9404825017298617e-05
locum tenens,13914,2.934787571126124e-05
corpus callosum,13846,2.920444782938933e-05
ad libitum,13210,2.7862975287175576e-05
in re,12172,2.5673590855072e-05
substantia nigra,11876,2.50492577222178e-05
res judicata,11712,2.470334341887966e-05
inter partes,11217,2.3659272808194432e-05
ex ante,11173,2.356646653168908e-05
terra firma,11061,2.3330232373311814e-05
a posteriori,10695,2.2558252891471822e-05
mea culpa,10683,2.2532942088788545e-05
post partum,10596,2.2349438769334778e-05
ipso facto,10373,2.1879079686137187e-05
per centum,10313,2.1752525672720798e-05
mutatis mutandis,9949,2.0984764657994686e-05
camera obscura,9812,2.0695799660693925e-05
pro tempore,8552,1.80381653789497e-05
