phrase,appear times,frequency
persona non grata,8235,1.7369538341399764e-05
in rem,8129,1.7145959584364137e-05
per curiam,8009,1.6892851557531355e-05
in toto,7942,1.6751532909216385e-05
deus ex machina,7883,1.6627088129356933e-05
pro tem,7777,1.6403509372321305e-05
ultra vires,7515,1.5850890180403063e-05
gluteus maximus,7514,1.5848780946846122e-05
foramen ovale,7477,1.577073930523935e-05
ex post facto,7346,1.5494429709280224e-05
mens rea,7296,1.5388968031433234e-05
ex nihilo,7087,1.4948138218032802e-05
in memoriam,6657,1.4041167788548661e-05
non sequitur,6648,1.4022184686536201e-05
caveat emptor,6478,1.3663614981856426e-05
corpus christi,6438,1.357924563957883e-05
in limine,6421,1.3543388669110853e-05
ex situ,6351,1.3395742320125063e-05
via media,6204,1.3085684987254903e-05
materia medica,6178,1.3030844914774468e-05
dura mater,5994,1.2642745940297532e-05
tabula rasa,5881,1.2404402548363328e-05
in loco,5797,1.222722692958038e-05
sanctum sanctorum,5613,1.1839127955103445e-05
honoris causa,5593,1.1796943283964648e-05
juris doctor,5534,1.1672498504105196e-05
carpe diem,5238,1.1048165371250996e-05
stare decisis,5237,1.1046056137694058e-05
viva voce,5221,1.1012308400783019e-05
corpus luteum,5218,1.1005980700112199e-05
in extremis,5156,1.0875208219581929e-05
nolo contendere,5155,1.0873098986024988e-05
memento mori,5072,1.069803260079898e-05
ceteris paribus,5064,1.068115873234346e-05
sua sponte,5056,1.0664284863887942e-05
pari passu,4836,1.0200253481361173e-05
inter vivos,4706,9.92605311895899e-06
in forma pauperis,4500,9.491551006229378e-06
ad absurdum,4378,9.234224512282715e-06
suo motu,4328,9.128762834435723e-06
globus pallidus,4325,9.122435133764903e-06
delirium tremens,4204,8.86721787337518e-06
sensu lato,4091,8.628874481440974e-06
rigor mortis,4052,8.54661437272032e-06
sola scriptura,4007,8.451698862658027e-06
in vacuo,4001,8.439043461316387e-06
status quo ante,3975,8.384203388835951e-06
aqua regia,3965,8.363111053266553e-06
a fortiori,3962,8.356783352595733e-06
modus vivendi,3798,8.010869049257595e-06
in loco parentis,3736,7.880096568727325e-06
sensu stricto,3724,7.854785766044047e-06
pro hac vice,3665,7.730340986184594e-06
sine die,3636,7.669173213033339e-06
foramen magnum,3608,7.610114673439022e-06
in personam,3445,7.266309603657824e-06
pendente lite,3340,7.0448400801791386e-06
casus belli,3333,7.03007544528056e-06
terra incognita,3222,6.795950520460235e-06
reductio ad absurdum,3140,6.6229933687911665e-06
locus standi,3043,6.418397713768e-06
ad interim,2917,6.152634285593577e-06
dramatis personae,2893,6.1020126802270205e-06
respondeat superior,2877,6.068264943315983e-06
sub judice,2855,6.021861805063306e-06
genius loci,2839,5.988114068152268e-06
motu proprio,2772,5.846795419837297e-06
ex cathedra,2624,5.534628853410198e-06
in se,2584,5.450259511132603e-06
quantum meruit,2566,5.412293307107686e-06
ex gratia,2512,5.298394695032933e-06
quo warranto,2506,5.285739293691294e-06
actus reus,2479,5.228789987653918e-06
in medias res,2235,4.714136999760591e-06
mala fide,2187,4.612893789027478e-06
in specie,2151,4.536961380977643e-06
cantus firmus,2065,4.355567295080815e-06
ne plus ultra,2020,4.260651785018521e-06
cor pulmonale,1983,4.1826101434117466e-06
id est,1956,4.12566083737437e-06
terra nullius,1925,4.060274597109234e-06
sola fide,1922,4.053946896438415e-06
res ipsa loquitur,1920,4.049728429324535e-06
nunc pro tunc,1813,3.82404043873197e-06
per mille,1731,3.651083287062901e-06
et alia,1730,3.648974053505961e-06
in flagrante,1727,3.6426463528351415e-06
annus horribilis,1718,3.623663250822683e-06
inter se,1677,3.5371846749881485e-06
parens patriae,1630,3.438050697811975e-06
pia mater,1575,3.3220428521802826e-06
ex libris,1568,3.3072782172817034e-06
vox populi,1539,3.2461104441304476e-06
per os,1516,3.1975980723208306e-06
in ovo,1506,3.176505736751432e-06
jus ad bellum,1502,3.1680688025236725e-06
nolle prosequi,1495,3.1533041676250937e-06
in excelsis,1468,3.0963548615877174e-06
res publica,1461,3.081590226689138e-06
et alii,1446,3.0499517233350404e-06
primus inter pares,1407,2.967691614614386e-06
de re,1382,2.9149607756908894e-06
jus soli,1369,2.887540739450671e-06
flagrante delicto,1361,2.870666870995152e-06
propter hoc,1361,2.870666870995152e-06
compos mentis,1349,2.845356068311874e-06
sub rosa,1314,2.7715328938189786e-06
camera lucida,1305,2.75254979180652e-06
jus in bello,1293,2.7272389891232414e-06
ex aequo,1154,2.434055524708601e-06
pro tanto,1150,2.425618590480841e-06
in flagrante delicto,1127,2.3771062186712245e-06
summum bonum,1119,2.3602323502157055e-06
modus ponens,1083,2.2842999421658705e-06
homo erectus,1073,2.2632076065964718e-06
corpus delicti,1065,2.246333738140953e-06
jus sanguinis,1004,2.1176704911676213e-06
lignum vitae,1001,2.1113427904968018e-06
magna carta,982,2.0712673529149444e-06
ad limina,978,2.062830418687185e-06
aurora australis,977,2.060721185130245e-06
annus mirabilis,977,2.060721185130245e-06
bis in die,940,1.9826795435234703e-06
in extenso,902,1.9025286683597554e-06
anno domini,902,1.9025286683597554e-06
cura personalis,891,1.879327099233417e-06
obiter dicta,891,1.879327099233417e-06
vade mecum,884,1.864562464334838e-06
sui iuris,877,1.849797829436259e-06
ratio decidendi,876,1.847688595879319e-06
tu quoque,872,1.8392516616515596e-06
perpetuum mobile,847,1.786520822728063e-06
locus classicus,835,1.7612100200447846e-06
ad alta,833,1.756991552930905e-06
incertae sedis,828,1.7464453851462056e-06
nota bene,823,1.7358992173615065e-06
in futuro,811,1.710588414678228e-06
malesuada fames,794,1.6747314442102505e-06
e pluribus unum,782,1.649420641526972e-06
creatio ex nihilo,763,1.6093452039451147e-06
exempli gratia,761,1.605126736831235e-06
aqua vitae,756,1.5945805690465356e-06
in terrorem,753,1.588252868375716e-06
numerus clausus,732,1.5439589636799788e-06
erga omnes,729,1.5376312630091593e-06
cui bono,722,1.5228666281105803e-06
lex talionis,719,1.5165389274397607e-06
ejusdem generis,716,1.5102112267689412e-06
ipse dixit,714,1.5059927596550614e-06
opera omnia,713,1.5038835260981216e-06
sola gratia,708,1.4933373583134223e-06
dementia praecox,695,1.4659173220732041e-06
in natura,691,1.4574803878454447e-06
pater familias,678,1.4300603516052264e-06
in pari materia,677,1.4279511180482864e-06
horror vacui,672,1.4174049502635873e-06
obiter dictum,669,1.4110772495927677e-06
pontifex maximus,667,1.4068587824788879e-06
lex loci,665,1.4026403153650083e-06
editio princeps,658,1.3878756804664292e-06
ad astra,657,1.3857664469094893e-06
pacta sunt servanda,653,1.3773295126817299e-06
damnatio memoriae,631,1.3309263744290529e-06
ipso jure,617,1.3013971046318949e-06
in quarto,615,1.297178637518015e-06
philosophia perennis,610,1.2866324697333158e-06
rara avis,603,1.2718678348347368e-06
ave maria,598,1.2613216670500374e-06
ex hypothesi,598,1.2613216670500374e-06
opus magnum,594,1.252884732822278e-06
functus officio,588,1.2402293314806389e-06
non compos mentis,584,1.2317923972528794e-06
conditio sine qua non,583,1.2296831636959395e-06
ex tempore,581,1.2254646965820599e-06
in pari delicto,575,1.2128092952404206e-06
lex fori,566,1.193826193227962e-06
vide infra,553,1.1664061569877436e-06
modus tollens,551,1.162187689873864e-06
de fide,550,1.160078456316924e-06
sede vacante,547,1.1537507556461045e-06
ars poetica,547,1.1537507556461045e-06
mirabile dictu,544,1.147423054975285e-06
ante bellum,543,1.145313821418345e-06
pro patria,533,1.1242214858489465e-06
bona vacantia,532,1.1221122522920066e-06
contra proferentem,524,1.1052383838364876e-06
opus sectile,516,1.0883645153809687e-06
de dicto,515,1.086255281824029e-06
post factum,513,1.0820368147101491e-06
nomen nudum,512,1.0799275811532092e-06
ex opere operato,510,1.0757091140393296e-06
nolens volens,508,1.07149064692545e-06
ne bis in idem,501,1.0567260120268707e-06
quo vadis,500,1.054616778469931e-06
per caput,494,1.0419613771282917e-06
vel non,491,1.0356336764574722e-06
ars technica,478,1.008213640217254e-06
non obstante,476,1.0039951731033742e-06
res gestae,473,9.976674724325547e-07
lex scripta,464,9.78684370420096e-07
semper reformanda,461,9.723566697492763e-07
amor fati,458,9.660289690784567e-07
res cogitans,456,9.618105019645771e-07
primum non nocere,443,9.343904657243588e-07
sub silentio,441,9.301719986104792e-07
venia legendi,438,9.238442979396595e-07
et passim,438,9.238442979396595e-07
pro re nata,435,9.1751659726884e-07
ora et labora,428,9.02751962370261e-07
ex facie,426,8.985334952563812e-07
tempus fugit,425,8.964242616994413e-07
per incuriam,425,8.964242616994413e-07
ante mortem,422,8.900965610286217e-07
non plus ultra,419,8.837688603578022e-07
res extensa,418,8.816596268008623e-07
vide supra,415,8.753319261300427e-07
propria persona,415,8.753319261300427e-07
homo oeconomicus,413,8.71113459016163e-07
ex voto,413,8.71113459016163e-07
substantia gelatinosa,411,8.668949919022833e-07
in nomine,409,8.626765247884035e-07
in casu,408,8.605672912314637e-07
corpus juris,406,8.56348824117584e-07
cursus honorum,404,8.521303570037043e-07
terminus ante quem,404,8.521303570037043e-07
nihil obstat,403,8.500211234467643e-07
ultima ratio,401,8.458026563328846e-07
dulce et decorum est,399,8.415841892190049e-07
jus gentium,389,8.204918536496063e-07
petitio principii,383,8.078364523079671e-07
ad idem,382,8.057272187510273e-07
deo volente,382,8.057272187510273e-07
homo sacer,379,7.993995180802076e-07
opus est,379,7.993995180802076e-07
a minima,379,7.993995180802076e-07
textus receptus,378,7.972902845232678e-07
sensus communis,378,7.972902845232678e-07
ex more,378,7.972902845232678e-07
uti possidetis,377,7.951810509663279e-07
studium generale,377,7.951810509663279e-07
a contrario,373,7.867441167385685e-07
ignis fatuus,373,7.867441167385685e-07
ante meridiem,371,7.825256496246888e-07
terra nova,370,7.804164160677489e-07
in capite,367,7.740887153969293e-07
audi alteram partem,363,7.656517811691699e-07
homo faber,362,7.635425476122301e-07
post bellum,360,7.593240804983503e-07
pars pro toto,350,7.382317449289517e-07
ora pro nobis,349,7.361225113720118e-07
homo ludens,348,7.340132778150719e-07
in propria persona,348,7.340132778150719e-07
ex novo,347,7.319040442581321e-07
ratione personae,341,7.192486429164929e-07
in esse,339,7.150301758026132e-07
causa sui,338,7.129209422456734e-07
apparatus criticus,336,7.087024751317936e-07
aqua fortis,336,7.087024751317936e-07
factum est,334,7.044840080179139e-07
ad eundem,329,6.939378402332146e-07
mortis causa,328,6.918286066762747e-07
quod est,328,6.918286066762747e-07
malum in se,327,6.897193731193349e-07
post meridiem,327,6.897193731193349e-07
ex aequo et bono,325,6.855009060054552e-07
extra ecclesiam nulla salus,325,6.855009060054552e-07
in dubio,324,6.833916724485152e-07
ut supra,321,6.770639717776957e-07
culpa in contrahendo,320,6.749547382207559e-07
per accidens,317,6.686270375499362e-07
sub specie aeternitatis,315,6.644085704360565e-07
intra vires,313,6.601901033221768e-07
ex utero,309,6.517531690944174e-07
status quo ante bellum,306,6.454254684235977e-07
in perpetuum,303,6.390977677527782e-07
hortus conclusus,300,6.327700670819585e-07
ad usum,299,6.306608335250187e-07
tertium quid,298,6.285515999680789e-07
vena amoris,295,6.222238992972593e-07
homo habilis,294,6.201146657403194e-07
panem et circenses,290,6.1167773151256e-07
malum prohibitum,289,6.095684979556201e-07
via dolorosa,288,6.074592643986802e-07
de futuro,288,6.074592643986802e-07
ad vitam,287,6.053500308417404e-07
eo ipso,285,6.011315637278607e-07
locus in quo,281,5.926946295001012e-07
in octavo,281,5.926946295001012e-07
senatus consultum,280,5.905853959431613e-07
inter alios,279,5.884761623862215e-07
una voce,278,5.863669288292816e-07
nisi prius,276,5.821484617154019e-07
in abstracto,276,5.821484617154019e-07
in concreto,274,5.779299946015222e-07
suo jure,268,5.65274593259883e-07
vis major,267,5.631653597029431e-07
mens sana in corpore sano,266,5.610561261460033e-07
coitus interruptus,265,5.589468925890635e-07
hic et nunc,264,5.568376590321235e-07
vita brevis,263,5.547284254751837e-07
pro parte,263,5.547284254751837e-07
fons et origo,261,5.50509958361304e-07
ad fontes,257,5.420730241335445e-07
in aeternum,254,5.35745323462725e-07
ad referendum,254,5.35745323462725e-07
eo nomine,254,5.35745323462725e-07
ad honorem,250,5.273083892349655e-07
quasi in rem,248,5.230899221210858e-07
post scriptum,248,5.230899221210858e-07
mea maxima culpa,247,5.209806885641459e-07
illo tempore,245,5.167622214502661e-07
ad damnum,245,5.167622214502661e-07
ab ovo,240,5.062160536655669e-07
fac simile,239,5.04106820108627e-07
in rebus,239,5.04106820108627e-07
onus probandi,238,5.019975865516871e-07
in pectore,238,5.019975865516871e-07
in vino veritas,236,4.977791194378074e-07
divide et impera,236,4.977791194378074e-07
ius gentium,235,4.956698858808676e-07
intra muros,235,4.956698858808676e-07
omnium gatherum,234,4.935606523239277e-07
in posse,234,4.935606523239277e-07
ad rem,232,4.89342185210048e-07
ars nova,228,4.809052509822886e-07
restitutio in integrum,228,4.809052509822886e-07
ipsissima verba,228,4.809052509822886e-07
in spe,226,4.766867838684088e-07
per mensem,225,4.7457755031146896e-07
jure uxoris,224,4.724683167545291e-07
schola cantorum,223,4.703590831975892e-07
in parvo,221,4.661406160837095e-07
in principio,220,4.640313825267696e-07
arcus senilis,219,4.6192214896982975e-07
et sequens,219,4.6192214896982975e-07
in praesenti,218,4.598129154128899e-07
felix culpa,218,4.598129154128899e-07
contra mundum,212,4.4715751407125074e-07
in foro,212,4.4715751407125074e-07
noli me tangere,211,4.450482805143109e-07
urbi et orbi,208,4.387205798434913e-07
primum mobile,203,4.28174412058792e-07
in partibus,202,4.260651785018521e-07
ex delicto,202,4.260651785018521e-07
in solidum,200,4.218467113879724e-07
sensus plenior,199,4.197374778310325e-07
ars moriendi,198,4.1762824427409266e-07
non est factum,198,4.1762824427409266e-07
papaver somniferum,197,4.155190107171528e-07
mare nostrum,195,4.1130054360327306e-07
ubi supra,195,4.1130054360327306e-07
causa mortis,193,4.070820764893934e-07
persona grata,190,4.007543758185738e-07
lex non scripta,190,4.007543758185738e-07
nomen est omen,188,3.9653590870469405e-07
expressio unius est exclusio alterius,188,3.9653590870469405e-07
musica sacra,187,3.944266751477542e-07
rebus sic stantibus,183,3.859897409199947e-07
quod erat demonstrandum,182,3.838805073630549e-07
aqua marina,180,3.7966204024917516e-07
in actu,179,3.775528066922353e-07
dies irae,178,3.7544357313529543e-07
ex lege,177,3.7333433957835556e-07
in salvo,176,3.712251060214157e-07
porta romana,175,3.6911587246447583e-07
lex loci delicti,169,3.564604711228367e-07
in dubio pro reo,167,3.5224200400895695e-07
in fieri,167,3.5224200400895695e-07
in infinitum,166,3.501327704520171e-07
nulla poena sine lege,166,3.501327704520171e-07
per impossibile,166,3.501327704520171e-07
res nullius,165,3.480235368950772e-07
vox humana,164,3.4591430333813735e-07
de bene esse,163,3.438050697811975e-07
de lege ferenda,163,3.438050697811975e-07
ex nihilo nihil fit,161,3.3958660266731775e-07
post coitum,160,3.3747736911037794e-07
ante litteram,160,3.3747736911037794e-07
ex contractu,160,3.3747736911037794e-07
in saecula saeculorum,159,3.3536813555343807e-07
in nuce,156,3.2904043488261847e-07
de profundis,156,3.2904043488261847e-07
ius cogens,154,3.2482196776873874e-07
festina lente,154,3.2482196776873874e-07
jus naturale,153,3.2271273421179887e-07
crus cerebri,153,3.2271273421179887e-07
multum in parvo,153,3.2271273421179887e-07
status quaestionis,152,3.20603500654859e-07
ignoratio elenchi,152,3.20603500654859e-07
philosophiae doctor,152,3.20603500654859e-07
contra legem,152,3.20603500654859e-07
extra muros,150,3.1638503354097927e-07
caput mortuum,149,3.1427579998403945e-07
volenti non fit injuria,148,3.121665664270996e-07
pater patriae,148,3.121665664270996e-07
ab urbe condita,147,3.100573328701597e-07
fiat lux,145,3.0583886575628e-07
esse est percipi,145,3.0583886575628e-07
fides quaerens intellectum,142,2.995111650854604e-07
non bis in idem,142,2.995111650854604e-07
mos maiorum,140,2.9529269797158065e-07
a latere,139,2.931834644146408e-07
pro et contra,138,2.9107423085770097e-07
opus dei,138,2.9107423085770097e-07
do ut des,137,2.889649973007611e-07
jus civile,137,2.889649973007611e-07
argumentum ad ignorantiam,137,2.889649973007611e-07
spiritus rector,135,2.8474653018688137e-07
felo de se,134,2.826372966299415e-07
caveat venditor,134,2.826372966299415e-07
stella maris,133,2.8052806307300164e-07
semper fidelis,132,2.7841882951606177e-07
requiescat in pace,132,2.7841882951606177e-07
liberum arbitrium,127,2.678726617313625e-07
non obstante veredicto,126,2.657634281744226e-07
bellum omnium contra omnes,126,2.657634281744226e-07
translatio imperii,125,2.6365419461748276e-07
pax romana,123,2.59435727503603e-07
aqua pura,123,2.59435727503603e-07
in statu nascendi,122,2.5732649394666316e-07
conditio humana,122,2.5732649394666316e-07
advocatus diaboli,121,2.552172603897233e-07
ars longa,121,2.552172603897233e-07
contra bonos mores,121,2.552172603897233e-07
disjecta membra,120,2.531080268327834e-07
in transitu,120,2.531080268327834e-07
circus maximus,120,2.531080268327834e-07
ad finem,120,2.531080268327834e-07
ratio legis,119,2.5099879327584356e-07
et vir,119,2.5099879327584356e-07
ab extra,118,2.488895597189037e-07
agnus dei,118,2.488895597189037e-07
jus divinum,118,2.488895597189037e-07
in statu quo,118,2.488895597189037e-07
a mensa et thoro,117,2.467803261619638e-07
animal rationale,117,2.467803261619638e-07
ultima thule,117,2.467803261619638e-07
ex tunc,116,2.44671092605024e-07
rus in urbe,115,2.4256185904808414e-07
ex mero motu,115,2.4256185904808414e-07
terra australis,115,2.4256185904808414e-07
de plano,114,2.404526254911443e-07
tertium non datur,114,2.404526254911443e-07
novus ordo seclorum,112,2.3623415837726454e-07
communis opinio,111,2.3412492482032468e-07
ecce homo,110,2.320156912633848e-07
ad mortem,110,2.320156912633848e-07
de minimis non curat lex,108,2.2779722414950508e-07
oculus sinister,108,2.2779722414950508e-07
non licet,108,2.2779722414950508e-07
de gustibus non est disputandum,107,2.2568799059256524e-07
novum testamentum,107,2.2568799059256524e-07
doli incapax,106,2.2357875703562537e-07
ab origine,106,2.2357875703562537e-07
suum cuique,105,2.214695234786855e-07
nemine contradicente,104,2.1936028992174564e-07
opus anglicanum,104,2.1936028992174564e-07
in articulo mortis,103,2.1725105636480577e-07
sine nomine,103,2.1725105636480577e-07
cursus publicus,103,2.1725105636480577e-07
imperium in imperio,103,2.1725105636480577e-07
a tergo,102,2.1514182280786593e-07
oculus dexter,102,2.1514182280786593e-07
homo floresiensis,101,2.1303258925092606e-07
lapsus linguae,101,2.1303258925092606e-07
ab intra,101,2.1303258925092606e-07
mater dolorosa,101,2.1303258925092606e-07
risus sardonicus,101,2.1303258925092606e-07
jure divino,100,2.109233556939862e-07
in illo tempore,99,2.0881412213704633e-07
proxima centauri,99,2.0881412213704633e-07
damnum absque injuria,97,2.045956550231666e-07
in haec verba,97,2.045956550231666e-07
pater noster,96,2.0248642146622676e-07
de lege lata,95,2.003771879092869e-07
lusus naturae,95,2.003771879092869e-07
nullum crimen sine lege,94,1.9826795435234702e-07
sapere aude,94,1.9826795435234702e-07
citius altius fortius,92,1.940494872384673e-07
alis grave nil,92,1.940494872384673e-07
miserere nobis,92,1.940494872384673e-07
locus delicti,92,1.940494872384673e-07
ex nunc,92,1.940494872384673e-07
via lactea,91,1.9194025368152745e-07
vera causa,91,1.9194025368152745e-07
jus canonicum,90,1.8983102012458758e-07
per definitionem,90,1.8983102012458758e-07
nunc dimittis,90,1.8983102012458758e-07
hostis humani generis,90,1.8983102012458758e-07
sursum corda,90,1.8983102012458758e-07
verbatim et literatim,89,1.8772178656764772e-07
dona nobis pacem,88,1.8561255301070785e-07
nil desperandum,88,1.8561255301070785e-07
anno mundi,87,1.8350331945376798e-07
e silentio,86,1.8139408589682812e-07
opus quadratum,85,1.7928485233988827e-07
experimentum crucis,85,1.7928485233988827e-07
spiritus mundi,85,1.7928485233988827e-07
ex silentio,84,1.771756187829484e-07
homo homini lupus,84,1.771756187829484e-07
in facie,84,1.771756187829484e-07
homo neanderthalensis,83,1.7506638522600854e-07
novus homo,83,1.7506638522600854e-07
et alibi,83,1.7506638522600854e-07
proxime accessit,83,1.7506638522600854e-07
non liquet,81,1.708479181121288e-07
dies non,81,1.708479181121288e-07
deus vult,81,1.708479181121288e-07
pons asinorum,80,1.6873868455518897e-07
lapsus calami,80,1.6873868455518897e-07
ad locum,80,1.6873868455518897e-07
donatio mortis causa,79,1.666294509982491e-07
ubi sunt,79,1.666294509982491e-07
post festum,79,1.666294509982491e-07
solvitur ambulando,79,1.666294509982491e-07
contradictio in terminis,79,1.666294509982491e-07
ad acta,78,1.6452021744130923e-07
non serviam,78,1.6452021744130923e-07
primum movens,78,1.6452021744130923e-07
ars gratia artis,77,1.6241098388436937e-07
sol invictus,77,1.6241098388436937e-07
in globo,77,1.6241098388436937e-07
ut pictura poesis,76,1.603017503274295e-07
crimen falsi,76,1.603017503274295e-07
carpe noctem,76,1.603017503274295e-07
in hoc signo vinces,76,1.603017503274295e-07
sic transit gloria mundi,76,1.603017503274295e-07
manu militari,76,1.603017503274295e-07
loco citato,74,1.560832832135498e-07
lapis philosophorum,74,1.560832832135498e-07
salva veritate,74,1.560832832135498e-07
lege artis,74,1.560832832135498e-07
tertium comparationis,74,1.560832832135498e-07
res inter alios acta,73,1.5397404965660993e-07
nemo dat quod non habet,73,1.5397404965660993e-07
casus omissus,73,1.5397404965660993e-07
coram deo,72,1.5186481609967006e-07
vis maior,72,1.5186481609967006e-07
ex professo,72,1.5186481609967006e-07
similia similibus curantur,72,1.5186481609967006e-07
ignorantia juris non excusat,71,1.497555825427302e-07
amor vincit omnia,69,1.4553711542885049e-07
vanitas vanitatum,68,1.4342788187191062e-07
homo heidelbergensis,68,1.4342788187191062e-07
uberrima fides,67,1.4131864831497075e-07
facile princeps,67,1.4131864831497075e-07
jus commune,67,1.4131864831497075e-07
ex opere operantis,66,1.3920941475803089e-07
ad quod damnum,65,1.3710018120109102e-07
dei gratia,65,1.3710018120109102e-07
in partibus infidelium,64,1.3499094764415115e-07
opus operatum,64,1.3499094764415115e-07
in usu,64,1.3499094764415115e-07
quis custodiet ipsos custodes,64,1.3499094764415115e-07
ex animo,63,1.328817140872113e-07
non placet,63,1.328817140872113e-07
carmina burana,63,1.328817140872113e-07
fiat panis,62,1.3077248053027145e-07
morituri te salutant,62,1.3077248053027145e-07
sub poena,61,1.2866324697333158e-07
per aspera ad astra,60,1.265540134163917e-07
vox populi vox dei,60,1.265540134163917e-07
ex vi termini,60,1.265540134163917e-07
periculum in mora,59,1.2444477985945185e-07
mare liberum,59,1.2444477985945185e-07
contradictio in adjecto,59,1.2444477985945185e-07
in curia,59,1.2444477985945185e-07
credo quia absurdum,59,1.2444477985945185e-07
e contrario,59,1.2444477985945185e-07
horribile dictu,58,1.22335546302512e-07
sub nomine,58,1.22335546302512e-07
sub verbo,58,1.22335546302512e-07
finem respice,58,1.22335546302512e-07
senatus consultum ultimum,57,1.2022631274557214e-07
contemptus mundi,57,1.2022631274557214e-07
legate a latere,57,1.2022631274557214e-07
ars antiqua,57,1.2022631274557214e-07
nullius in verba,56,1.1811707918863227e-07
sine ira et studio,56,1.1811707918863227e-07
in flagranti,56,1.1811707918863227e-07
soli deo gloria,56,1.1811707918863227e-07
opus vermiculatum,55,1.160078456316924e-07
dux bellorum,55,1.160078456316924e-07
argumentum ad baculum,55,1.160078456316924e-07
quota litis,54,1.1389861207475254e-07
sub anno,54,1.1389861207475254e-07
et uxor,54,1.1389861207475254e-07
loci communes,54,1.1389861207475254e-07
esse quam videri,54,1.1389861207475254e-07
quare clausum fregit,54,1.1389861207475254e-07
nudum pactum,54,1.1389861207475254e-07
ex deo,54,1.1389861207475254e-07
ex maleficio,53,1.1178937851781269e-07
errare humanum est,53,1.1178937851781269e-07
ex negativo,53,1.1178937851781269e-07
eiusdem generis,53,1.1178937851781269e-07
species nova,53,1.1178937851781269e-07
pro mille,52,1.0968014496087282e-07
cave canem,52,1.0968014496087282e-07
vis inertiae,52,1.0968014496087282e-07
alea iacta est,52,1.0968014496087282e-07
capax infiniti,52,1.0968014496087282e-07
ut dictum,51,1.0757091140393296e-07
ad vitam aeternam,51,1.0757091140393296e-07
apologia pro vita sua,51,1.0757091140393296e-07
invitatio ad offerendum,51,1.0757091140393296e-07
particeps criminis,51,1.0757091140393296e-07
vae victis,50,1.054616778469931e-07
stabat mater,50,1.054616778469931e-07
aetatis suae,50,1.054616778469931e-07
vaticinium ex eventu,50,1.054616778469931e-07
quoad hoc,49,1.0335244429005323e-07
ex proprio vigore,49,1.0335244429005323e-07
ab aeterno,49,1.0335244429005323e-07
nosce te ipsum,49,1.0335244429005323e-07
odium theologicum,49,1.0335244429005323e-07
audiatur et altera pars,49,1.0335244429005323e-07
humanae vitae,48,1.0124321073311338e-07
damnatio ad bestias,48,1.0124321073311338e-07
magister artium,48,1.0124321073311338e-07
stupor mundi,47,9.913397717617351e-08
brutum fulmen,47,9.913397717617351e-08
summa summarum,47,9.913397717617351e-08
te deum,47,9.913397717617351e-08
