year,2-grams,3-grams,4-grams,5-grams
1800,318049533,304172383,290295279,276516856
1801,419959397,401185525,382411670,363765972
1802,446859442,426392630,405925831,385608796
1803,512731321,489699155,466666998,443800106
1804,404555137,386208933,367862672,349634519
1805,351756257,336019819,320283352,304660186
1806,347021134,331741827,316462553,301288210
1807,351252485,336142520,321032578,306032704
1808,441291844,421437187,401582550,381856052
1809,442667763,423684442,404701124,385836698
1810,427327263,408649336,389971417,371414649
1811,398870923,380640621,362410301,344305188
1812,374923845,358641053,342358220,326193908
1813,347736375,332746358,317756363,302874109
1814,317795560,304272868,290750179,277327181
1815,370751624,354499411,338247235,322113725
1816,431480129,413123484,394766806,376559305
1817,642312993,614218498,586124033,558229590
1818,838843304,803056430,767269593,731730714
1819,966085476,925282262,884479050,843941674
1820,842709824,807493238,772276740,737263173
1821,1014045706,969972030,925898368,882098736
1822,997444956,954728735,912012436,869575731
1823,1011870588,969075274,926279967,883742437
1824,1187491475,1137961250,1088430904,1039202978
1825,1135661168,1088083805,1040506306,993196296
1826,1135333500,1087926120,1040518726,993423446
1827,1084919562,1039445333,993971091,948811172
1828,1090238875,1043966677,997694379,951740247
1829,1166428947,1117089165,1067749305,1018749536
1830,958144798,917133935,876122989,835405752
1831,641387200,612843818,584300469,555968201
1832,739099955,706789171,674478327,642416852
1833,863287345,826159010,789030585,752171977
1834,1071291108,1024464246,977637236,931155098
1835,1322211135,1263543869,1204876574,1146666427
1836,1487929076,1424839832,1361750412,1299134604
1837,1437217129,1377284351,1317351540,1257839750
1838,1584243313,1518629008,1453014615,1387864420
1839,1430313301,1369386114,1308458836,1248001991
1840,1569935342,1503509426,1437083276,1371115936
1841,1557499344,1491021681,1424543904,1358510761
1842,1490698346,1426993133,1363287862,1300061359
1843,1692932150,1621158082,1549383945,1478139465
1844,1821971045,1746550558,1671130371,1596278327
1845,1792041528,1715638539,1639235488,1563459486
1846,1708087412,1634488339,1560889224,1487862351
1847,1854178579,1775899238,1697619990,1619907199
1848,1242973864,1189087125,1135200550,1081690883
1849,1193400722,1141706430,1090011859,1038670919
1850,1472972004,1409427447,1345882994,1282784678
1851,1550522510,1483620119,1416717868,1350395281
1852,1535969650,1468899875,1401830106,1335375543
1853,1674500021,1602122010,1529743885,1458038980
1854,1924681599,1842129262,1759577088,1677723935
1855,1884326082,1801596309,1718866371,1636926237
1856,1931550079,1847431887,1763314026,1679953566
1857,2048546846,1958905662,1869264683,1780519815
1858,2043453568,1954390829,1865327825,1777140132
1859,1963798044,1878878879,1793959949,1709845554
1860,2184749627,2088791032,1992832943,1897846018
1861,2120457123,2028499600,1936541908,1845418234
1862,2213375423,2116567277,2019759270,1923818312
1863,2002154154,1913050896,1823947681,1735698866
1864,2085624339,1995276631,1904928858,1815460271
1865,2124565675,2031349061,1938132684,1845779329
1866,2055239457,1964071027,1872902455,1782613287
1867,2060661094,1969592014,1878522762,1788307825
1868,2024343177,1936401205,1848459062,1761342518
1869,2047703662,1957155723,1866607738,1776937643
1870,1743968362,1667745929,1591523314,1516013469
1871,941515190,899393069,857270795,815545486
1872,1653619824,1580558452,1507497086,1435042060
1873,1670563352,1597427651,1524291801,1451768679
1874,1673749800,1599632318,1525514857,1452140614
1875,1747785072,1669188138,1590591275,1512696683
1876,1653982022,1579908866,1505835435,1432421364
1877,1616863032,1542909098,1468955143,1395645688
1878,1655878941,1580176877,1504474817,1429451618
1879,1636841846,1562410020,1487977980,1414214116
1880,1558154972,1486593022,1415031051,1344227283
1881,1434204280,1367771681,1301338982,1235615413
1882,1502542794,1433619809,1364697038,1296531110
1883,1582444030,1508931427,1435418450,1362683228
1884,1514762084,1444681085,1374600373,1305259646
1885,1551437514,1479737484,1408037585,1337109332
1886,1549555276,1477867836,1406180559,1335309200
1887,1531645818,1460014395,1388382953,1317542188
1888,1577134073,1503975019,1430815919,1358453350
1889,1596134226,1521231011,1446327789,1372221631
1890,1525695826,1454508924,1383321984,1312862364
1891,1568819392,1495929891,1423040350,1350889764
1892,1595274803,1520474610,1445673941,1371643207
1893,1623793983,1547955234,1472116277,1397030603
1894,1586913859,1511970440,1437027443,1362826801
1895,1661512021,1583546121,1505580067,1428413032
1896,1695769149,1616600568,1537431524,1459102340
1897,1716233267,1634292224,1552351234,1471261565
1898,1767298176,1684598411,1601898490,1520104013
1899,1809110513,1724172228,1639234092,1555217180
1900,1926391435,1834882707,1743373881,1652885416
1901,1789312481,1705377555,1621443033,1538369679
1902,2036542206,1942972335,1849402302,1756707357
1903,1851776322,1764674785,1677573022,1591342272
1904,1860594870,1772725076,1684855556,1597839862
1905,1937699483,1846366576,1755033727,1664599602
1906,1943942753,1852926635,1761910380,1671824687
1907,1944449409,1851935057,1759420464,1667796603
1908,2036083898,1939723890,1843364105,1747978015
1909,1817856593,1733185905,1648514952,1564638385
1910,1871204464,1783295878,1695387000,1608293273
1911,1879567120,1791309671,1703052356,1615605555
1912,1919598996,1829709444,1739819724,1650733888
1913,1885728656,1797404444,1709080238,1621610853
1914,1493262974,1423533577,1353804022,1284713016
1915,848841526,809388662,769935726,730872070
1916,910128300,868514193,826900019,785656410
1917,911874277,870495635,829117023,788117919
1918,870596566,830939985,791283444,751995298
1919,1086030127,1036357576,986685182,937506391
1920,1320614675,1259585052,1198555507,1138115104
1921,1320524844,1258566142,1196607560,1135276688
1922,1355392658,1291653828,1227914775,1164838810
1923,941978950,897195569,852412072,808204156
1924,775697406,738749121,701800913,665334722
1925,909241437,864955069,820668586,776989204
1926,897171729,853585137,809998365,766990782
1927,896923422,853560033,810196790,767442710
1928,875193789,832802253,790410682,748584315
1929,897633301,853916844,810200206,767108655
1930,952054313,906105254,860156354,814783921
1931,876781095,834318915,791856809,749968599
1932,912447364,868464891,824482497,781057208
1933,871789255,829968438,788147711,746845620
1934,834614461,793978399,753342388,713234161
1935,835541648,794738482,753935254,713682542
1936,824761683,784895351,745029078,705670251
1937,794210612,755590195,716969768,678850075
1938,771294583,734222374,697150219,660557882
1939,653849001,622046005,590243044,558868063
1940,394355514,374821933,355288394,336011748
1941,338810506,321799499,304788523,288020434
1942,329574885,313402562,297230193,281259866
1943,344443317,327918320,311393304,295092445
1944,311217572,296475640,281733761,267200883
1945,459030607,437591821,416153044,395021926
1946,718333801,683897877,649462015,615507910
1947,838864812,799145763,759426684,720245820
1948,919803373,875457962,831112523,787372327
1949,1018640186,971594943,924549807,878126207
1950,940259552,895199930,850140293,805725058
1951,937962995,892744058,847525139,803002621
1952,948334389,902239021,856143670,810785085
1953,928175252,883964196,839753282,796192272
1954,1023275810,974312776,925349841,877097376
1955,1065461135,1014063226,962665289,912004266
1956,1146638894,1091621061,1036603365,982496578
1957,1131857032,1077239968,1022622717,968842558
1958,1208861983,1150943666,1093025373,1035997736
1959,1290198182,1228229103,1166260254,1105233724
1960,1444912576,1375763662,1306614822,1238720426
1961,1439230144,1371664679,1304099071,1237619428
1962,1576800442,1503272295,1429744262,1357423521
1963,1546538335,1474316819,1402095223,1331118830
1964,1643664002,1566842749,1490021302,1414465814
1965,1827470872,1742391933,1657312926,1573602463
1966,1805355846,1720931381,1636507192,1553609242
1967,2028259480,1934620311,1840981148,1749048816
1968,2226469325,2125188966,2023908732,1924355182
1969,2201790669,2102349389,2002907955,1905264442
1970,2174515745,2075814753,1977113964,1880075800
1971,1946132100,1855470924,1764810122,1675783687
1972,1949261964,1859116276,1768970859,1680453444
1973,1813827465,1727489409,1641151687,1556499748
1974,1777597133,1692748780,1607900683,1524838879
1975,1750859633,1667124350,1583389111,1501374693
1976,1750232281,1667337467,1584442521,1503243891
1977,1701611514,1620669017,1539726394,1460406917
1978,1683333955,1605787573,1528241177,1452039646
1979,1708825252,1630636143,1552446672,1475624601
1980,1758968370,1677993508,1597018723,1517489522
1981,1580890330,1508544382,1436198517,1365208598
1982,1610954108,1538753045,1466552065,1395714623
1983,1583452062,1511986570,1440521225,1370383625
1984,1724432680,1647375945,1570319177,1494596816
1985,1662356170,1587789359,1513222423,1440027812
1986,1668199696,1593569275,1518938800,1445653292
1987,1636442401,1562969175,1489496186,1417345280
1988,1667624530,1593019951,1518415288,1445227555
1989,1822116821,1740547675,1658978235,1578998693
1990,1835316600,1755180017,1675043074,1596384532
1991,1706058033,1630643089,1555228063,1481235808
1992,1814900387,1735945487,1656991053,1579631519
1993,1805312481,1726912800,1648513150,1571653264
1994,1895760900,1813925753,1732090616,1651818334
1995,1844184594,1765424957,1686665545,1609453890
1996,1873328478,1793777964,1714227530,1636205706
1997,2085551593,1998024197,1910496992,1824602257
1998,2097258510,2009694547,1922130656,1836281709
1999,2188087428,2097023979,2005960654,1916599911
2000,2263451639,2169640107,2075828997,1983879256
2001,2282473429,2187816465,2093159477,2000336806
2002,2282468545,2188717401,2094966532,2003064728
2003,2399852334,2301749567,2203646724,2107501375
2004,2270255130,2177520906,2084786763,1993907803
2005,2220372314,2129567394,2038762836,1949653266
2006,2428428028,2328440207,2228452583,2130299576
