year,2-grams,3-grams,4-grams,5-grams
2007,2503455325,2397721591,2291988246,2188224496
2008,2348829362,2249952253,2151075039,2053906451
2009,2097230721,2007260136,1917289449,1828683260
2010,2116942896,2024307385,1931671574,1839997772
2011,2615081955,2499030717,2382979844,2267447930
2012,2937502313,2802239135,2666976062,2532124271
2013,3585354030,3415950901,3246548332,3077636212
2014,4617988129,4396541220,4175094790,3954223221
2015,4511464067,4295368740,4079274047,3863783320
2016,4827792528,4594932886,4362072949,4129808980
2017,3975177024,3780332753,3585488848,3391209825
2018,3873766877,3682088055,3490408980,3299214728
2019,3920050519,3725249245,3530448493,3336234202
