year,2-grams,3-grams,4-grams,5-grams
1942,638434346,609880227,581326271,553114257
1943,640202539,611589702,582976751,554744895
1944,697638495,666848421,636058367,605638757
1945,761638479,728237114,694835830,661836784
1946,874979528,836227301,797475086,759181611
1947,773676068,738743586,703811194,669300760
1948,778294092,743450741,708607363,674176729
1949,777058049,742711084,708364177,674438047
1950,816756417,779575585,742394800,705649251
1951,780232901,744619303,709005561,673788127
1952,848060766,809811492,771562087,733797833
1953,889603887,849013141,808422447,768315583
1954,885875929,846424151,806972443,768012617
1955,877092941,838139826,799186689,760753046
1956,981945129,937891685,893838201,850304790
1957,959130411,916306670,873482928,831238668
1958,1039616452,992813008,946009402,899786905
1959,1024404923,978000214,931595389,885770937
1960,1203204536,1148913690,1094622844,1040963001
1961,1136835054,1084989278,1033143510,981943426
1962,1157860807,1106245213,1054629653,1003700793
1963,1274972357,1217131994,1159291755,1102179704
1964,1315832301,1256336586,1196840860,1138079974
1965,1313327416,1254378340,1195429407,1137252063
1966,1309489839,1250491028,1191492214,1133206578
1967,1381698102,1319126748,1256555377,1194757154
1968,1430078854,1365954116,1301829501,1238532247
1969,1373974659,1311843877,1249712830,1188381833
1970,1327887807,1268757872,1209628050,1151369212
1971,1354896317,1295630285,1236364296,1177911263
1972,1429473357,1366822540,1304171603,1242401060
1973,1547718392,1479377789,1411037081,1343661202
1974,1551806103,1483439788,1415073295,1347641785
1975,1545153994,1477016197,1408878606,1341688213
1976,1427811120,1363958320,1300105552,1237227466
1977,1448048121,1384328753,1320609407,1257875235
1978,1485748904,1420434475,1355119838,1290757369
1979,1519477990,1452398544,1385319198,1319258380
1980,1621473297,1550150154,1478826876,1408595747
1981,1684008210,1609338536,1534668900,1461156562
1982,1696915731,1623429257,1549942752,1477647244
1983,1695767587,1622247701,1548727898,1476413771
1984,1740338451,1664935701,1589533186,1515448598
1985,1748835448,1674206227,1599577015,1526236553
1986,1740380294,1665888252,1591396038,1518266974
1987,1696722088,1624937264,1553152320,1482727844
1988,1930776430,1849581555,1768386680,1688688295
1989,1846530690,1767329537,1688128580,1610373914
1990,1795116777,1719694100,1644271838,1570301036
1991,1830872279,1753609367,1676346659,1600689668
1992,1956692903,1873910728,1791128813,1710019110
1993,1887854411,1807530837,1727207284,1648493335
1994,1965068137,1881910399,1798752905,1717519842
1995,1927916953,1846856691,1765796195,1686353969
1996,2072021932,1985991198,1899960656,1815645152
1997,2240993248,2147425568,2053858031,1962236255
1998,2324502158,2228406945,2132311674,2038143048
1999,2437465910,2337504647,2237543752,2139643407
2000,2506313569,2403992367,2301671080,2201447485
2001,2462343828,2362023548,2261702986,2163465535
2002,2432881111,2334436884,2235992632,2139455885
2003,2509111621,2406890045,2304668188,2204527789
2004,2625979980,2519498012,2413016195,2308582726
2005,2742850280,2630960702,2519070728,2409342147
2006,2666634423,2557487996,2448341862,2341289822
2007,2360350477,2264385894,2168421767,2074144377
2008,1846560927,1771681966,1696803142,1623101542
2009,1487122269,1423479163,1359836018,1296983571
2010,1401496082,1339543513,1277590962,1216138640
2011,1554176133,1482893319,1411610451,1340590665
2012,1838049247,1750602757,1663156230,1575969869
2013,1721588150,1639989404,1558390509,1477038315
2014,2150347528,2045981572,1941615512,1837538993
2015,2067708545,1967967313,1868226121,1768792746
2016,2028310798,1930096425,1831882492,1733958870
2017,1986882907,1889663141,1792443232,1695492953
2018,1963931707,1868364563,1772797184,1677548501
2019,1743383479,1658430136,1573476751,1488773697
