year,2-grams,3-grams,4-grams,5-grams
1800,72912407,69709030,66505656,63342887
1801,40213024,38404625,36596224,34824154
1802,55247457,52673584,50099707,47562513
1803,56686741,53656523,50626300,47637547
1804,56709023,54314367,51919716,49568943
1805,82560164,79052467,75544759,72109097
1806,48566623,46368279,44169939,42006049
1807,67330857,64318031,61305218,58358894
1808,35395912,33941256,32486596,31071225
1809,13737614,13141810,12546004,11969938
1810,15355228,14738922,14122616,13519018
1811,20292625,19428617,18564609,17719935
1812,25834962,24775633,23716305,22679763
1813,53734045,51712365,49690683,47701575
1814,41607398,39887047,38166699,36475951
1815,32786677,30826734,28866795,26967677
1816,31349312,29908080,28466842,27063041
1817,49739794,47111396,44483000,41902335
1818,55897674,53583625,51269584,49000357
1819,62530356,59995366,57460378,54974015
1820,76224544,73059409,69894273,66787164
1821,80028506,76720526,73412555,70153949
1822,68556389,65370029,62183669,59043890
1823,42409276,40364327,38319383,36324972
1824,49160494,47093300,45026106,43006519
1825,55934826,53357158,50779495,48252559
1826,88967364,84051503,79135649,74279728
1827,80626592,76772288,72917993,69122881
1828,82429769,78503010,74576250,70729482
1829,128127045,122190381,116253709,110417869
1830,94988050,90541975,86095906,81716169
1831,78525398,74967448,71409497,67900783
1832,91071697,86936061,82800431,78725053
1833,75660447,72557768,69455099,66400989
1834,81237618,77795777,74353936,70964944
1835,84924296,81440895,77957504,74519753
1836,104214455,100065883,95917326,91813732
1837,81437981,77515193,73592399,69721633
1838,99770098,94969686,90169275,85428266
1839,103695312,99259129,94822954,90434572
1840,149736979,143535072,137333150,131203224
1841,160490627,153739450,146988275,140309747
1842,154168365,147422765,140677154,133997949
1843,165274423,157704946,150135452,142638509
1844,228697832,219088278,209478717,199965965
1845,272217500,260707553,249197601,237808322
1846,251965636,241089779,230213924,219447655
1847,279579035,267707379,255835725,244106822
1848,250158778,239127550,228096330,217157314
1849,245117664,234098332,223079021,212188230
1850,291583336,279068993,266554677,254208360
1851,330892517,317436330,303980117,290695990
1852,339721078,325297307,310873584,296622137
1853,319356585,307116464,294876322,282780192
1854,282283780,270726301,259168845,247743375
1855,269279616,258265945,247252288,236385610
1856,253939981,243392536,232845134,222424762
1857,286207139,273584577,260961996,248545994
1858,283853223,271957057,260060885,248307184
1859,267897788,256644225,245390673,234272990
1860,267215647,255789047,244362472,233060980
1861,282381595,270749039,259116496,247627251
1862,287445416,275628190,263810961,252126019
1863,304762747,292293006,279823247,267499687
1864,297133038,284737184,272341375,260076707
1865,299480401,287152537,274824669,262666791
1866,277030858,265377482,253724092,242218795
1867,259434340,247614285,235794179,224105593
1868,240991979,231261747,221531518,211910879
1869,261506678,250887622,240268615,229763560
1870,290281031,278638044,266995092,255464619
1871,240429415,230461859,220494351,210627608
1872,302495235,289693562,276891886,264199727
1873,258604995,248092513,237580070,227162067
1874,261563491,250636180,239708861,228895208
1875,289550730,278206779,266862833,255618474
1876,353839728,339615618,325391457,311277023
1877,371705865,357245318,342784762,328444479
1878,363477336,348560222,333643110,318821382
1879,253319638,242941919,232564203,222275538
1880,251481478,240660370,229839240,219107015
1881,237481977,227398371,217314751,207324369
1882,259649345,248886464,238123644,227465877
1883,272267855,260771540,249275192,237895938
1884,267662752,256693738,245724734,234855833
1885,258440921,248081224,237721534,227463329
1886,258552667,248270974,237989281,227803328
1887,283394628,271647361,259900051,248274801
1888,285396160,273828349,262260512,250792612
1889,306880072,294678102,282476151,270386148
1890,314886212,301797928,288709614,275749616
1891,255513459,245138117,234762812,224479853
1892,287116199,275085039,263053880,251143056
1893,257917801,247203791,236489801,225888479
1894,274735460,262629573,250523656,238551803
1895,238491790,228655598,218819378,209083315
1896,277807302,266206009,254604701,243133182
1897,285200961,272666944,260132952,247760249
1898,296090151,283490200,270890252,258404951
1899,304888257,291793087,278697960,265720996
1900,371102588,355517497,339932412,324525200
1901,331365062,317786419,304207775,290772245
1902,361863596,345934849,330006087,314229625
1903,367628307,352084454,336540657,321152651
1904,350478281,336065210,321652160,307403759
1905,423956643,406282977,388609280,371120579
1906,400217930,383594073,366970234,350511772
1907,567468897,541328395,515187840,489267099
1908,466789714,447495788,428201941,409106717
1909,360486016,345701349,330916728,316260950
1910,567435844,544265279,521094775,498129781
1911,471324292,451473538,431622703,411956266
1912,505071341,484279945,463488464,442880937
1913,499574807,478478685,457382470,436495705
1914,496811429,476620687,456429846,436415739
1915,481391553,461373848,441356069,421498761
1916,502734988,481225837,459716659,438404673
1917,504525182,482812226,461099289,439571714
1918,515153163,493041642,470930141,449034974
1919,501253920,480132813,459011707,438080019
1920,596800940,570813785,544826627,519069782
1921,504057874,482494688,460931547,439570254
1922,493172079,471814119,450456168,429288751
1923,389219500,372552076,355884680,339408243
1924,359165637,343588962,328012282,312617703
1925,420832949,401537196,382241477,363185759
1926,394391945,376563044,358734106,341118091
1927,411584337,392913610,374242859,355780819
1928,474389559,453168694,431947844,410973784
1929,494936426,472912683,450889032,429107180
1930,551397765,525941420,500485161,475314098
1931,418774781,400172335,381569903,363177657
1932,414122960,395892731,377662512,359664220
1933,440135948,420833447,401530862,382485065
1934,429496815,410845757,392194669,373800989
1935,502283905,479970440,457657056,435653632
1936,488984966,467527806,446070588,424876293
1937,473768290,452942745,432117185,411584027
1938,524666079,501784713,478903381,456316910
1939,566968442,542741818,518515207,494585135
1940,569288139,544438078,519588008,495033014
1941,587727834,561398619,535069428,509123819
