year,2-grams,3-grams,4-grams,5-grams
1800,790818,753291,715764,678391
1801,114736,109542,104348,99199
1802,388351,369245,350139,331090
1803,315915,298866,281817,264854
1804,230823,220020,209217,198573
1805,260137,248327,236517,224901
1806,316549,300803,285057,269547
1807,443356,420813,398270,375950
1808,483795,460066,436337,412834
1809,297765,279809,261853,243992
1810,229904,217362,204820,192354
1811,404817,382858,360899,339095
1812,597820,558057,518294,478781
1813,509746,488157,466568,445140
1814,625493,587650,549807,512063
1815,429837,407909,385981,364541
1816,903671,861472,819273,777195
1817,497497,468201,438905,409731
1818,448432,424253,400074,376153
1819,431261,410458,389655,369035
1820,170775,162236,153697,145276
1821,693124,660260,627396,594731
1822,860305,818528,776751,735304
1823,1062709,1014173,965637,917316
1824,494017,464709,435401,406340
1825,1165140,1105857,1046574,987650
1826,704892,667816,630740,593865
1827,839606,795406,751206,707283
1828,1355940,1297648,1239356,1181402
1829,970521,918482,866443,814694
1830,36304827,35088968,33873105,32661610
1831,4257083,4055296,3853509,3652839
1832,4364259,4132226,3900193,3669164
1833,2669087,2540805,2412523,2284979
1834,4742369,4507243,4272117,4038160
1835,5133561,4883002,4632443,4383411
1836,5904199,5615485,5326771,5039755
1837,7245544,6894306,6543067,6194220
1838,8873223,8438953,8004683,7573754
1839,12166655,11574764,10982873,10395145
1840,10695986,10168425,9640864,9117172
1841,8739828,8311716,7883603,7458169
1842,10945918,10406862,9867805,9332494
1843,11137757,10612720,10087682,9566366
1844,9750860,9276027,8801196,8329455
1845,12255178,11680482,11105785,10535479
1846,13696825,13053588,12410350,11771493
1847,13363900,12735307,12106716,11482777
1848,13817886,13158121,12498356,11844426
1849,11277161,10733803,10190444,9651614
1850,8467325,8060731,7654137,7250605
1851,10101437,9623962,9146487,8672119
1852,10096892,9623059,9149227,8678807
1853,10305485,9824165,9342845,8865898
1854,10584513,10098489,9612465,9130665
1855,16385084,15626047,14867008,14112842
1856,15682544,14978196,14273850,13576171
1857,19910692,18941557,17972420,17011070
1858,21777513,20821235,19864959,18913836
1859,27054037,25879240,24704439,23537039
1860,29224369,27945179,26665989,25395073
1861,26307683,25141358,23975031,22816031
1862,24250828,23142873,22034919,20935451
1863,30275759,28759315,27242873,25735859
1864,21982310,20999241,20016168,19040049
1865,25702401,24596504,23490612,22392924
1866,27587589,26366620,25145648,23935011
1867,29966647,28675187,27383728,26100329
1868,31778794,30367253,28955709,27553066
1869,31771486,30377501,28983509,27600012
1870,33450911,32038915,30626922,29225110
1871,40247776,38552533,36857287,35173781
1872,39119916,37462384,35804848,34159210
1873,32550763,31162134,29773510,28395088
1874,33324553,31899278,30474002,29058871
1875,36934369,35317679,33700988,32095030
1876,38668243,37010018,35351793,33706065
1877,32897854,31485325,30072801,28669916
1878,30446579,29097271,27747961,26407921
1879,25556404,24433482,23310561,22195435
1880,27818917,26570369,25321821,24082363
1881,26311408,25157275,24003146,22856775
1882,29532246,28224837,26917425,25619421
1883,26886381,25693412,24500442,23316711
1884,27204203,26000026,24795849,23599543
1885,27197528,25995528,24793528,23599732
1886,31585982,30209236,28832489,27463955
