year,2-grams,3-grams,4-grams,5-grams
1887,30572441,29225735,27879031,26540109
1888,31076382,29697093,28317804,26946876
1889,34291650,32801982,31312314,29832520
1890,34115522,32627661,31139799,29661172
1891,38529224,36819562,35109894,33411683
1892,39439388,37671386,35903389,34147332
1893,36482308,34866016,33249723,31643488
1894,38494748,36797937,35101121,33414233
1895,43789094,41838744,39888403,37951347
1896,40575953,38758432,36940915,35134322
1897,47747707,45637879,43528053,41430019
1898,51721777,49473355,47224936,44990143
1899,46708330,44603489,42498641,40407390
1900,45392559,43372565,41352567,39345820
1901,39664386,37928123,36191862,34467728
1902,47673690,45511103,43348520,41200043
1903,50317588,48061449,45805313,43565745
1904,55348567,52910818,50473072,48051830
1905,53292304,50937841,48583370,46245151
1906,63418370,60596570,57774759,54973608
1907,63221385,60294749,57368105,54468838
1908,71189518,67822990,64456458,61121440
1909,68117530,64939247,61760969,58607642
1910,82959163,78955424,74951677,70984693
1911,80433679,76673672,72913654,69183153
1912,77187544,73496448,69805343,66148124
1913,71722137,68330145,64938152,61572627
1914,66948949,63806718,60664488,57547188
1915,44600487,42479183,40357880,38253296
1916,30414717,29012557,27610395,26218615
1917,22129956,21104180,20078404,19060107
1918,22106620,21057635,20008654,18967629
1919,27054571,25712433,24370296,23038269
1920,38811281,36796591,34781904,32784931
1921,44761083,42483353,40205618,37947970
1922,96013328,90972779,85932223,80940456
1923,119067621,112728613,106389577,100121040
1924,82214133,77539090,72864048,68234963
1925,131958321,124591615,117224901,109959603
1926,143332174,134502369,125672584,116969691
1927,160252185,149648657,139045116,128609103
1928,176842532,165539613,154236701,143124361
1929,180158033,168668869,157179691,145855189
1930,142977077,133849347,124721628,115731038
1931,153609620,143692390,133775127,124016623
1932,145071606,135792021,126512417,117354382
1933,184228067,173025940,161823805,150757587
1934,207585383,195151224,182717040,170408333
1935,247994701,232620807,217246904,202055746
1936,226493049,213142940,199792823,186577819
1937,226024892,212419731,198814563,185339359
1938,197293039,185131940,172970813,160919825
1939,203640795,191320201,178999585,166806016
1940,196553341,184754022,172954678,161273137
1941,121787337,114594167,107400989,100289235
1942,32050233,30050722,28051210,26082136
1943,42777879,40272905,37767928,35299033
1944,67069112,62922271,58775424,54703688
1945,109699753,103340085,96980415,90728238
1946,202068959,190186558,178304169,166621738
1947,260227528,245471916,230716347,216154219
1948,307748852,290266184,272783511,255558146
1949,424972558,398239943,371507306,345115400
1950,393998225,370403327,346808392,323559661
1951,363211668,342112641,321013595,300338153
1952,397022055,373967631,350913214,328310638
1953,411320944,388055796,364790695,341929984
1954,514988389,485118499,455248731,425813021
1955,593213176,559118844,525024478,491418366
1956,708435416,667797373,627159322,587241560
1957,809199474,762816337,716433192,670826121
1958,903967330,851344551,798721793,746901766
1959,1019890213,960749818,901609452,843356851
1960,1154571686,1088033022,1021494385,955973808
1961,1138530093,1073521258,1008512200,944402558
1962,1220237042,1148361704,1076486323,1005614141
1963,1277319270,1204334859,1131350376,1059467700
1964,1185611195,1113267469,1040923838,969682591
1965,1153749227,1087959330,1022169386,957509056
1966,1241744697,1171278053,1100811260,1031372054
1967,1320028354,1244572777,1169117180,1094834821
1968,1272595900,1200780276,1128964731,1058329584
1969,1323515352,1244400993,1165286807,1087398136
1970,1344915761,1264956105,1184996537,1106302170
1971,1229091478,1156327116,1083562849,1011932123
1972,1236430666,1163726984,1091023402,1019523881
1973,1332066309,1254059533,1176052765,1099370851
1974,1328237815,1249954011,1171670239,1094684869
1975,1299797081,1224254186,1148711127,1074240447
1976,1348629040,1270321153,1192013482,1114803975
1977,1326935454,1249553252,1172171007,1095892468
1978,1356797317,1277717218,1198637304,1120721780
1979,1265820929,1192847519,1119873939,1048055575
1980,1276142802,1203426061,1130709206,1059267805
1981,1227022587,1157028075,1087033624,1018320921
1982,1234400891,1164079638,1093758296,1024740199
1983,1232956438,1162336507,1091716782,1022352363
1984,1306969579,1230813301,1154656913,1079989065
1985,1260154468,1187728794,1115303073,1044313773
1986,1249165689,1177297165,1105428471,1035015290
1987,1338600801,1260046016,1181491208,1104446686
1988,1312228401,1237704791,1163181329,1090223116
1989,1372110123,1294180340,1216250590,1139905634
1990,1280690899,1207304066,1133917309,1062124276
1991,1065265741,1003500053,941734347,881471043
1992,823171133,774957764,726744415,679733118
1993,867300893,818243054,769185229,721456244
1994,953870242,897696441,841522540,786928174
1995,898707396,848348870,797990312,748899537
1996,891281557,841535869,791790156,743263150
1997,957010047,903941703,850873376,799014344
1998,969884066,915665752,861447473,808486209
1999,1098710582,1037173802,975636909,915392289
2000,1895818424,1783766836,1671715447,1561335364
2001,1197415751,1130517995,1063620276,998230243
2002,1209507101,1141294655,1073082119,1006557664
2003,1302311921,1230143060,1157974297,1087469417
2004,1270301356,1199422844,1128544406,1059451365
2005,1234320338,1164948430,1095576589,1027975588
2006,1181761765,1116139599,1050517493,986512788
2007,1101840016,1039507345,977174757,916386751
2008,1066036361,1004922409,943808560,884283041
2009,784205669,739148944,694092357,649930389
2010,676795576,637947092,599098537,560695157
2011,560918614,526442286,491965942,457695479
2012,564498253,529330233,494162159,459197507
2013,1638530944,1545003862,1451476754,1358418941
2014,880618329,828589431,776560546,724797008
2015,747303725,706155036,665006426,624031971
2016,599633804,566384381,533134900,500025268
2017,5527753828,5179733416,4831713588,4485741015
2018,5091932914,4757540814,4423148270,4090978459
2019,4675948801,4371654025,4067359674,3764900224
